participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 1, 56, 816845.8, correct, P-T1S1D2-0-s1_56_t1lt2rt3r, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 2, 44, 9603, correct, P-T1S1D2-1-s1_44_t1rt2rt3l, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 3, 72, 5960.29999998, correct, P-T1S1D2-2-s1_72_t1rt2lt3r, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 4, 48, 3572.50000001, correct, P-T1S1D2-3-s1_48_t1lt2rt3l, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 5, 60, 4113.59999998, correct, P-T1S1D2-4-s1_60_t1rt2lt3l, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 6, 64, 16437.9, correct, P-T1S1D2-5-s1_64_t1rt2lt3l, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 7, 68, 2969.70000002, correct, P-T1S1D2-6-s1_68_t1lt2lt3l, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 8, 52, 2983.79999999, correct, P-T1S1D2-7-s1_52_t1rt2rt3r, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 9, 40, 2951.99999999, correct, P-T1S1D2-8-s1_40_t1rt2rt3l, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
6026fb0d9366fc48f44c9933, 02a1f562a1efa250a48c464d865d9029, 17, T1-S1-D2, 0, t1, s1, 10, 76, 2605.90000002, correct, P-T1S1D2-9-s1_76_t1lt2lt3r, 2021-03-24T11:07:21+0100, practice_T1_S1_D2
