participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 1, 4, 232452.2, error, P-T3S2D1-0-s2_4_t1rt2rt3l, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 2, 8, 7787.2, error, P-T3S2D1-1-s2_8_t1lt2rt3l, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 3, 32, 6148.6, correct, P-T3S2D1-2-s2_32_t1rt2lt3r, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 4, 0, 3421.4, correct, P-T3S2D1-3-s2_0_t1rt2rt3l, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 5, 12, 2835.2, correct, P-T3S2D1-4-s2_12_t1rt2rt3r, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 6, 24, 2447.4, correct, P-T3S2D1-5-s2_24_t1rt2lt3l, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 7, 36, 1766.5, correct, P-T3S2D1-6-s2_36_t1lt2lt3r, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 8, 28, 1754.2, correct, P-T3S2D1-7-s2_28_t1lt2lt3l, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 9, 16, 3975.4, correct, P-T3S2D1-8-s2_16_t1lt2rt3r, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 10, 20, 3722.59999999, correct, P-T3S2D1-9-s2_20_t1rt2lt3l, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
5f900c48e6dadf0401d0c6e2, 03799c4472ef8421ffed531b96be112a, 98, T3-S2-D1, 0, t3, s2, 11, 4, 4677.9, correct, P-T3S2D1-10-s2_4_t1rt2rt3l, 2021-03-24T10:47:46+0100, practice_T3_S2_D1
