participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 1, 32, 187035.3, error, P-T2S3D1-0-s3_32_t1rt2lt3r, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 2, 0, 7581.30000002, correct, P-T2S3D1-1-s3_0_t1rt2rt3l, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 3, 20, 7061.09999999, correct, P-T2S3D1-2-s3_20_t1rt2lt3l, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 4, 36, 7282.00000001, correct, P-T2S3D1-3-s3_36_t1lt2lt3r, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 5, 12, 6197.99999997, correct, P-T2S3D1-4-s3_12_t1rt2rt3r, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 6, 4, 6754.20000002, correct, P-T2S3D1-5-s3_4_t1rt2rt3l, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 7, 16, 6824.8, correct, P-T2S3D1-6-s3_16_t1lt2rt3r, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 8, 8, 6581.39999997, correct, P-T2S3D1-7-s3_8_t1lt2rt3l, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 9, 28, 6171.80000001, correct, P-T2S3D1-8-s3_28_t1lt2lt3l, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
5e8246ca68080c971aca80b1, 09b8e6ada74530ab61fa036967687405, 49, T2-S3-D1, 0, t2, s3, 10, 24, 6884.59999999, correct, P-T2S3D1-9-s3_24_t1rt2lt3l, 2021-03-24T10:54:35+0100, practice_T2_S3_D1
