participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 1, 40, 373304, correct, P-T1S1D2-0-s1_40_t1rt2rt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 2, 64, 2184, correct, P-T1S1D2-1-s1_64_t1rt2lt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 3, 72, 1632, correct, P-T1S1D2-2-s1_72_t1rt2lt3r, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 4, 60, 1851, correct, P-T1S1D2-3-s1_60_t1rt2lt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 5, 76, 1808, correct, P-T1S1D2-4-s1_76_t1lt2lt3r, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 6, 48, 1719, correct, P-T1S1D2-5-s1_48_t1lt2rt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 7, 68, 1651, correct, P-T1S1D2-6-s1_68_t1lt2lt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 8, 52, 1579, correct, P-T1S1D2-7-s1_52_t1rt2rt3r, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 9, 44, 1987, correct, P-T1S1D2-8-s1_44_t1rt2rt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 10, 56, 2514, correct, P-T1S1D2-9-s1_56_t1lt2rt3r, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 11, 40, 3392, correct, P-T1S1D2-10-s1_40_t1rt2rt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 12, 72, 1792, correct, P-T1S1D2-11-s1_72_t1rt2lt3r, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 13, 52, 1817, correct, P-T1S1D2-12-s1_52_t1rt2rt3r, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 14, 60, 1544, correct, P-T1S1D2-13-s1_60_t1rt2lt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 0, t1, s1, 15, 68, 1682, correct, P-T1S1D2-14-s1_68_t1lt2lt3l, 2021-03-24T10:59:42+0100, practice_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 1, 41, 429911, correct, T1S1D2-0-s1_41_t1rt2rt3l, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 2, 53, 900, correct, T1S1D2-1-s1_53_t1rt2rt3r, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 3, 62, 934, correct, T1S1D2-2-s1_62_t1rt2lt3l, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 4, 61, 934, correct, T1S1D2-3-s1_61_t1rt2lt3l, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 5, 43, 835, correct, T1S1D2-4-s1_43_t1rt2rt3l, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 6, 74, 874, correct, T1S1D2-5-s1_74_t1rt2lt3r, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 7, 300, 893, correct, T1S1D2-attn-s1_300_t1l, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 8, 57, 920, correct, T1S1D2-6-s1_57_t1lt2rt3r, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
5fc1828b10d93323a5c7be7b, 16900090120e135e38e467640c9afe37, 22, T1-S1-D2, 1, t1, s1, 9, 63, 920, correct, T1S1D2-7-s1_63_t1rt2lt3l, 2021-03-24T11:00:56+0100, trial_T1_S1_D2
