participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 1, 64, 699263, correct, P-T1S2D2-0-s2_64_t1rt2lt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 2, 52, 2350, correct, P-T1S2D2-1-s2_52_t1rt2rt3r, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 3, 44, 8671, correct, P-T1S2D2-2-s2_44_t1rt2rt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 4, 48, 3681, correct, P-T1S2D2-3-s2_48_t1lt2rt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 5, 40, 22284, correct, P-T1S2D2-4-s2_40_t1rt2rt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 6, 68, 1769, correct, P-T1S2D2-5-s2_68_t1lt2lt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 7, 56, 2617, correct, P-T1S2D2-6-s2_56_t1lt2rt3r, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 8, 72, 2650, correct, P-T1S2D2-7-s2_72_t1rt2lt3r, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 9, 76, 2165, correct, P-T1S2D2-8-s2_76_t1lt2lt3r, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 10, 60, 1701, correct, P-T1S2D2-9-s2_60_t1rt2lt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 11, 64, 6583, correct, P-T1S2D2-10-s2_64_t1rt2lt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 12, 44, 27836, correct, P-T1S2D2-11-s2_44_t1rt2rt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 13, 72, 2135, correct, P-T1S2D2-12-s2_72_t1rt2lt3r, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 14, 48, 1847, correct, P-T1S2D2-13-s2_48_t1lt2rt3l, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 0, t1, s2, 15, 56, 1905, correct, P-T1S2D2-14-s2_56_t1lt2rt3r, 2021-03-24T11:01:44+0100, practice_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 1, 45, 797638, correct, T1S2D2-0-s2_45_t1lt2rt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 2, 69, 1033, correct, T1S2D2-1-s2_69_t1lt2lt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 3, 47, 1049, correct, T1S2D2-2-s2_47_t1lt2rt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 4, 42, 1316, correct, T1S2D2-3-s2_42_t1rt2rt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 5, 78, 1035, correct, T1S2D2-4-s2_78_t1lt2lt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 6, 59, 1171, correct, T1S2D2-5-s2_59_t1lt2rt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 7, 300, 866, correct, T1S2D2-attn-s2_300_t1l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 8, 63, 8743, correct, T1S2D2-6-s2_63_t1rt2lt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 9, 53, 887, correct, T1S2D2-7-s2_53_t1rt2rt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 10, 57, 882, correct, T1S2D2-8-s2_57_t1lt2rt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 11, 75, 851, correct, T1S2D2-9-s2_75_t1lt2lt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 12, 77, 4498, correct, T1S2D2-10-s2_77_t1lt2lt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 13, 46, 1073, correct, T1S2D2-11-s2_46_t1lt2rt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 14, 43, 14847, correct, T1S2D2-12-s2_43_t1rt2rt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 15, 301, 751, correct, T1S2D2-attn-s2_301_t1r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 16, 58, 1532, correct, T1S2D2-13-s2_58_t1lt2rt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 17, 74, 1636, correct, T1S2D2-14-s2_74_t1rt2lt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 18, 66, 1097, correct, T1S2D2-15-s2_66_t1lt2lt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 19, 54, 1520, correct, T1S2D2-16-s2_54_t1rt2rt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 20, 61, 1063, correct, T1S2D2-17-s2_61_t1rt2lt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 21, 67, 1035, correct, T1S2D2-18-s2_67_t1lt2lt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 22, 71, 1316, correct, T1S2D2-19-s2_71_t1rt2lt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 23, 302, 25834, correct, T1S2D2-attn-s2_302_t1l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 24, 65, 1015, correct, T1S2D2-20-s2_65_t1lt2lt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 25, 62, 1906, correct, T1S2D2-21-s2_62_t1rt2lt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 26, 49, 1080, correct, T1S2D2-22-s2_49_t1lt2rt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 27, 51, 3316, correct, T1S2D2-23-s2_51_t1rt2rt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 28, 79, 885, correct, T1S2D2-24-s2_79_t1lt2lt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 29, 41, 919, correct, T1S2D2-25-s2_41_t1rt2rt3l, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 30, 50, 964, correct, T1S2D2-26-s2_50_t1rt2rt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 31, 303, 882, correct, T1S2D2-attn-s2_303_t1r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 32, 55, 951, correct, T1S2D2-27-s2_55_t1lt2rt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 33, 73, 833, correct, T1S2D2-28-s2_73_t1rt2lt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
6004b360e01afe6599cde022, 17bcf20389c13d24df058543175e637e, 12, T1-S2-D2, 1, t1, s2, 34, 70, 935, correct, T1S2D2-29-s2_70_t1rt2lt3r, 2021-03-24T11:03:51+0100, trial_T1_S2_D2
