participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 1, 52, 302373, correct, P-T3S3D2-0-s3_52_t1rt2rt3r, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 2, 64, 2089, correct, P-T3S3D2-1-s3_64_t1rt2lt3l, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 3, 68, 2080, correct, P-T3S3D2-2-s3_68_t1lt2lt3l, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 4, 48, 2833, correct, P-T3S3D2-3-s3_48_t1lt2rt3l, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 5, 56, 1733, correct, P-T3S3D2-4-s3_56_t1lt2rt3r, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 6, 44, 1850, correct, P-T3S3D2-5-s3_44_t1rt2rt3l, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 7, 76, 1681, correct, P-T3S3D2-6-s3_76_t1lt2lt3r, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 8, 40, 1787, correct, P-T3S3D2-7-s3_40_t1rt2rt3l, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 9, 60, 2217, correct, P-T3S3D2-8-s3_60_t1rt2lt3l, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
5edd10be09cfd09f34a7f00c, 1a462afb5b2523bc6a5d5dcdc34ffbc6, 108, T3-S3-D2, 0, t3, s3, 10, 72, 1934, correct, P-T3S3D2-9-s3_72_t1rt2lt3r, 2021-03-30T22:33:04+0200, practice_T3_S3_D2
