participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 1, 112, 832255.4, correct, P-T2S2D3-0-s2_112_t1rt2lt3r, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 2, 108, 6676.19999999, correct, P-T2S2D3-1-s2_108_t1lt2lt3l, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 3, 96, 2223.79999998, correct, P-T2S2D3-2-s2_96_t1lt2rt3r, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 4, 88, 3054.20000001, correct, P-T2S2D3-3-s2_88_t1lt2rt3l, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 5, 100, 1786.19999997, correct, P-T2S2D3-4-s2_100_t1rt2lt3l, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 6, 104, 2011.20000001, correct, P-T2S2D3-5-s2_104_t1rt2lt3l, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 7, 84, 2049.1, correct, P-T2S2D3-6-s2_84_t1rt2rt3l, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 8, 92, 1851.40000004, correct, P-T2S2D3-7-s2_92_t1rt2rt3r, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 9, 116, 2436.79999997, correct, P-T2S2D3-8-s2_116_t1lt2lt3r, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 10, 80, 2666.29999998, correct, P-T2S2D3-9-s2_80_t1rt2rt3l, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 11, 112, 2478.90000005, correct, P-T2S2D3-10-s2_112_t1rt2lt3r, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 12, 96, 1940.69999998, correct, P-T2S2D3-11-s2_96_t1lt2rt3r, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 13, 92, 1748.49999999, correct, P-T2S2D3-12-s2_92_t1rt2rt3r, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 14, 88, 2829.00000003, correct, P-T2S2D3-13-s2_88_t1lt2rt3l, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 0, t2, s2, 15, 84, 2678.09999996, correct, P-T2S2D3-14-s2_84_t1rt2rt3l, 2021-03-24T11:03:17+0100, practice_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 1, t2, s2, 1, 98, 887929.4, correct, T2S2D3-0-s2_98_t1lt2rt3r, 2021-03-24T11:04:10+0100, trial_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 1, t2, s2, 2, 119, 1388.19999999, correct, T2S2D3-1-s2_119_t1lt2lt3r, 2021-03-24T11:04:10+0100, trial_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 1, t2, s2, 3, 113, 1088.90000003, correct, T2S2D3-2-s2_113_t1rt2lt3r, 2021-03-24T11:04:10+0100, trial_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 1, t2, s2, 4, 109, 1142.79999997, correct, T2S2D3-3-s2_109_t1lt2lt3l, 2021-03-24T11:04:10+0100, trial_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 1, t2, s2, 5, 90, 1735.50000001, correct, T2S2D3-4-s2_90_t1rt2rt3r, 2021-03-24T11:04:10+0100, trial_T2_S2_D3
5e95f879f4d19b04d6187052, 1a6784b3e55457fb3a28f461d129c45e, 58, T2-S2-D3, 1, t2, s2, 6, 89, 1245.70000003, correct, T2S2D3-5-s2_89_t1lt2rt3l, 2021-03-24T11:04:10+0100, trial_T2_S2_D3
