participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 1, 92, 492643, correct, P-T3S1D3-0-s1_92_t1rt2rt3r, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 2, 104, 7311, error, P-T3S1D3-1-s1_104_t1rt2lt3l, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 3, 100, 2294, correct, P-T3S1D3-2-s1_100_t1rt2lt3l, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 4, 88, 5414, correct, P-T3S1D3-3-s1_88_t1lt2rt3l, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 5, 80, 4110, correct, P-T3S1D3-4-s1_80_t1rt2rt3l, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 6, 108, 1722, correct, P-T3S1D3-5-s1_108_t1lt2lt3l, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 7, 84, 1587, correct, P-T3S1D3-6-s1_84_t1rt2rt3l, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 8, 96, 1496, correct, P-T3S1D3-7-s1_96_t1lt2rt3r, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 9, 112, 4079, correct, P-T3S1D3-8-s1_112_t1rt2lt3r, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 10, 116, 1736, correct, P-T3S1D3-9-s1_116_t1lt2lt3r, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 11, 92, 1323, error, P-T3S1D3-10-s1_92_t1rt2rt3r, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
5ee3e9307bfde60d758c8432, 1a70a94dd762af1b3b43855a178c5e88, 100, T3-S1-D3, 0, t3, s1, 12, 100, 1976, correct, P-T3S1D3-11-s1_100_t1rt2lt3l, 2021-03-30T22:05:11+0200, practice_T3_S1_D3
