participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 1, 60, 435121.5, correct, P-T2S1D2-0-s1_60_t1rt2lt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 2, 68, 5773.39999999, correct, P-T2S1D2-1-s1_68_t1lt2lt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 3, 44, 2823, correct, P-T2S1D2-2-s1_44_t1rt2rt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 4, 52, 1986, correct, P-T2S1D2-3-s1_52_t1rt2rt3r, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 5, 64, 3238.1, correct, P-T2S1D2-4-s1_64_t1rt2lt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 6, 40, 2841.49999999, correct, P-T2S1D2-5-s1_40_t1rt2rt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 7, 72, 2546.09999999, correct, P-T2S1D2-6-s1_72_t1rt2lt3r, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 8, 48, 1873.00000001, correct, P-T2S1D2-7-s1_48_t1lt2rt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 9, 76, 2072, error, P-T2S1D2-8-s1_76_t1lt2lt3r, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 10, 56, 4873.1, correct, P-T2S1D2-9-s1_56_t1lt2rt3r, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 11, 60, 1680.8, correct, P-T2S1D2-10-s1_60_t1rt2lt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 12, 44, 3293.6, correct, P-T2S1D2-11-s1_44_t1rt2rt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 13, 48, 2247.9, correct, P-T2S1D2-12-s1_48_t1lt2rt3l, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 14, 52, 1918.4, correct, P-T2S1D2-13-s1_52_t1rt2rt3r, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 0, t2, s1, 15, 72, 3387.69999999, error, P-T2S1D2-14-s1_72_t1rt2lt3r, 2021-03-24T12:08:43+0100, practice_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 1, 41, 488055.3, correct, T2S1D2-0-s1_41_t1rt2rt3l, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 2, 58, 1542.5, error, T2S1D2-1-s1_58_t1lt2rt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 3, 50, 1681.1, correct, T2S1D2-2-s1_50_t1rt2rt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 4, 62, 2104.1, correct, T2S1D2-3-s1_62_t1rt2lt3l, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 5, 79, 1100.00000001, correct, T2S1D2-4-s1_79_t1lt2lt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 6, 43, 1999.80000001, correct, T2S1D2-5-s1_43_t1rt2rt3l, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 7, 300, 954.499999993, correct, T2S1D2-attn-s1_300_t2l, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 8, 66, 1733.90000001, correct, T2S1D2-6-s1_66_t1lt2lt3l, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 9, 70, 1156.89999999, correct, T2S1D2-7-s1_70_t1rt2lt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 10, 77, 2339.30000001, error, T2S1D2-8-s1_77_t1lt2lt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 11, 54, 1363.80000001, correct, T2S1D2-9-s1_54_t1rt2rt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 12, 59, 1779.59999999, correct, T2S1D2-10-s1_59_t1lt2rt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 13, 78, 864.600000001, correct, T2S1D2-11-s1_78_t1lt2lt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 14, 69, 1546.6, correct, T2S1D2-12-s1_69_t1lt2lt3l, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 15, 301, 1213.09999999, correct, T2S1D2-attn-s1_301_t2r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 16, 49, 2082.30000001, correct, T2S1D2-13-s1_49_t1lt2rt3l, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 17, 53, 1709.09999999, correct, T2S1D2-14-s1_53_t1rt2rt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 18, 57, 1322.3, correct, T2S1D2-15-s1_57_t1lt2rt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
5c577dcdd05b820001395ce9, 24a0ca4a81bea12871b0dde0a23bfd7c, 56, T2-S1-D2, 1, t2, s1, 19, 55, 1709.6, correct, T2S1D2-16-s1_55_t1lt2rt3r, 2021-03-24T12:09:40+0100, trial_T2_S1_D2
