participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 1, 68, 457913.2, correct, P-T1S1D2-0-s1_68_t1lt2lt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 2, 52, 3320.49999999, correct, P-T1S1D2-1-s1_52_t1rt2rt3r, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 3, 44, 3868.9, correct, P-T1S1D2-2-s1_44_t1rt2rt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 4, 64, 2243.9, correct, P-T1S1D2-3-s1_64_t1rt2lt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 5, 60, 2739.3, correct, P-T1S1D2-4-s1_60_t1rt2lt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 6, 72, 3306.6, correct, P-T1S1D2-5-s1_72_t1rt2lt3r, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 7, 56, 3186.3, correct, P-T1S1D2-6-s1_56_t1lt2rt3r, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 8, 76, 2291.80000001, correct, P-T1S1D2-7-s1_76_t1lt2lt3r, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 9, 48, 3490.5, correct, P-T1S1D2-8-s1_48_t1lt2rt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 10, 40, 1939.6, correct, P-T1S1D2-9-s1_40_t1rt2rt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 11, 68, 1880.09999999, correct, P-T1S1D2-10-s1_68_t1lt2lt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 12, 44, 2669.8, correct, P-T1S1D2-11-s1_44_t1rt2rt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 13, 76, 1962.7, correct, P-T1S1D2-12-s1_76_t1lt2lt3r, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 14, 64, 1907.5, correct, P-T1S1D2-13-s1_64_t1rt2lt3l, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 0, t1, s1, 15, 56, 2748.5, correct, P-T1S1D2-14-s1_56_t1lt2rt3r, 2021-03-24T10:54:09+0100, practice_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 1, 71, 507248, correct, T1S1D2-0-s1_71_t1rt2lt3r, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 2, 42, 954.899999997, correct, T1S1D2-1-s1_42_t1rt2rt3l, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 3, 63, 2033.20000001, correct, T1S1D2-2-s1_63_t1rt2lt3l, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 4, 62, 1372.6, correct, T1S1D2-3-s1_62_t1rt2lt3l, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 5, 77, 1212, correct, T1S1D2-4-s1_77_t1lt2lt3r, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 6, 53, 1525.8, correct, T1S1D2-5-s1_53_t1rt2rt3r, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 7, 300, 1620.1, correct, T1S1D2-attn-s1_300_t1l, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 8, 78, 2024.8, correct, T1S1D2-6-s1_78_t1lt2lt3r, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 9, 45, 1148.09999999, correct, T1S1D2-7-s1_45_t1lt2rt3l, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 10, 65, 975.40000001, correct, T1S1D2-8-s1_65_t1lt2lt3l, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 11, 67, 1196.9, correct, T1S1D2-9-s1_67_t1lt2lt3l, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 12, 75, 977.100000004, correct, T1S1D2-10-s1_75_t1lt2lt3r, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
5aca646c436f550001000b9c, 299064b0749b802c297fe0913ffce28d, 21, T1-S1-D2, 1, t1, s1, 13, 46, 1102.49999999, correct, T1S1D2-11-s1_46_t1lt2rt3l, 2021-03-24T10:55:01+0100, trial_T1_S1_D2
