participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 1, 112, 536851.6, correct, P-T1S1D3-0-s1_112_t1rt2lt3r, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 2, 80, 1963.2, correct, P-T1S1D3-1-s1_80_t1rt2rt3l, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 3, 116, 2453.5, correct, P-T1S1D3-2-s1_116_t1lt2lt3r, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 4, 100, 1792.2, correct, P-T1S1D3-3-s1_100_t1rt2lt3l, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 5, 88, 1636.39999999, correct, P-T1S1D3-4-s1_88_t1lt2rt3l, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 6, 104, 1845.80000001, correct, P-T1S1D3-5-s1_104_t1rt2lt3l, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 7, 84, 1915.00000001, correct, P-T1S1D3-6-s1_84_t1rt2rt3l, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 8, 108, 1795.69999999, correct, P-T1S1D3-7-s1_108_t1lt2lt3l, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 9, 96, 2462.7, correct, P-T1S1D3-8-s1_96_t1lt2rt3r, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 10, 92, 2074.50000002, correct, P-T1S1D3-9-s1_92_t1rt2rt3r, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
5fe3f76d520dd11597760c63, 2a5049f268f254a129ac74877883f63e, 25, T1-S1-D3, 0, t1, s1, 11, 112, 2041.09999997, correct, P-T1S1D3-10-s1_112_t1rt2lt3r, 2021-03-30T16:41:31+0200, practice_T1_S1_D3
