participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 1, 76, 314032.8, correct, P-T1S2D2-0-s2_76_t1lt2lt3r, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 2, 48, 2501.00000005, correct, P-T1S2D2-1-s2_48_t1lt2rt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 3, 44, 3076.09999995, correct, P-T1S2D2-2-s2_44_t1rt2rt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 4, 68, 2015.40000003, correct, P-T1S2D2-3-s2_68_t1lt2lt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 5, 56, 4119.30000002, correct, P-T1S2D2-4-s2_56_t1lt2rt3r, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 6, 64, 2058.39999998, correct, P-T1S2D2-5-s2_64_t1rt2lt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 7, 40, 1734.70000003, correct, P-T1S2D2-6-s2_40_t1rt2rt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 8, 60, 2215.39999999, correct, P-T1S2D2-7-s2_60_t1rt2lt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 9, 72, 1726.59999994, correct, P-T1S2D2-8-s2_72_t1rt2lt3r, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 10, 52, 2479.60000008, correct, P-T1S2D2-9-s2_52_t1rt2rt3r, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 11, 76, 2559.69999998, correct, P-T1S2D2-10-s2_76_t1lt2lt3r, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 12, 44, 2163.19999995, correct, P-T1S2D2-11-s2_44_t1rt2rt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 13, 60, 1845.30000004, correct, P-T1S2D2-12-s2_60_t1rt2lt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 14, 68, 1950.59999998, correct, P-T1S2D2-13-s2_68_t1lt2lt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 0, t1, s2, 15, 40, 1518.40000006, correct, P-T1S2D2-14-s2_40_t1rt2rt3l, 2021-03-24T10:51:56+0100, practice_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 1, t1, s2, 1, 70, 394974.3, correct, T1S2D2-0-s2_70_t1rt2lt3r, 2021-03-24T10:53:21+0100, trial_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 1, t1, s2, 2, 71, 1491.39999994, correct, T1S2D2-1-s2_71_t1rt2lt3r, 2021-03-24T10:53:21+0100, trial_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 1, t1, s2, 3, 51, 1366.70000001, correct, T1S2D2-2-s2_51_t1rt2rt3r, 2021-03-24T10:53:21+0100, trial_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 1, t1, s2, 4, 55, 1071.40000002, correct, T1S2D2-3-s2_55_t1lt2rt3r, 2021-03-24T10:53:21+0100, trial_T1_S2_D2
5fc0e262621804016cbaddf1, 2b5ca7ef9d1b3806b16e596eb9daa476, 6, T1-S2-D2, 1, t1, s2, 5, 54, 966.299999971, correct, T1S2D2-4-s2_54_t1rt2rt3r, 2021-03-24T10:53:21+0100, trial_T1_S2_D2
