participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 1, 28, 252945, correct, P-T2S3D1-0-s3_28_t1lt2lt3l, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 2, 16, 7561, correct, P-T2S3D1-1-s3_16_t1lt2rt3r, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 3, 12, 2915, correct, P-T2S3D1-2-s3_12_t1rt2rt3r, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 4, 20, 3067, correct, P-T2S3D1-3-s3_20_t1rt2lt3l, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 5, 24, 3217, correct, P-T2S3D1-4-s3_24_t1rt2lt3l, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 6, 4, 3573, correct, P-T2S3D1-5-s3_4_t1rt2rt3l, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 7, 0, 3430, correct, P-T2S3D1-6-s3_0_t1rt2rt3l, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 8, 32, 2249, correct, P-T2S3D1-7-s3_32_t1rt2lt3r, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 9, 8, 4122, correct, P-T2S3D1-8-s3_8_t1lt2rt3l, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 10, 36, 2089, correct, P-T2S3D1-9-s3_36_t1lt2lt3r, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 11, 28, 1782, correct, P-T2S3D1-10-s3_28_t1lt2lt3l, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
5fcfba90c8ec13123bfa1b31, 3174e65a5e15e32f2b41da62b0778a2d, 60, T2-S3-D1, 0, t2, s3, 12, 12, 1722, correct, P-T2S3D1-11-s3_12_t1rt2rt3r, 2021-03-24T10:52:22+0100, practice_T2_S3_D1
