participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 1, 24, 264130.8, error, P-T3S1D1-0-s1_24_t1rt2lt3l, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 2, 4, 6277.29999996, error, P-T3S1D1-1-s1_4_t1rt2rt3l, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 3, 32, 3746.90000003, correct, P-T3S1D1-2-s1_32_t1rt2lt3r, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 4, 36, 4387.40000001, correct, P-T3S1D1-3-s1_36_t1lt2lt3r, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 5, 16, 3382.69999996, correct, P-T3S1D1-4-s1_16_t1lt2rt3r, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 6, 20, 3582.50000002, correct, P-T3S1D1-5-s1_20_t1rt2lt3l, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 7, 0, 3028.30000001, correct, P-T3S1D1-6-s1_0_t1rt2rt3l, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 8, 8, 5254.69999999, error, P-T3S1D1-7-s1_8_t1lt2rt3l, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 9, 12, 3936.3, correct, P-T3S1D1-8-s1_12_t1rt2rt3r, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
5ebc691f6719a80b580d57fc, 35f4c1e7f8d4577e8c70b8bfa5a03cfc, 78, T3-S1-D1, 0, t3, s1, 10, 28, 2802.90000001, correct, P-T3S1D1-9-s1_28_t1lt2lt3l, 2021-03-24T11:49:52+0100, practice_T3_S1_D1
