participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 1, 20, 154030, correct, P-T2S2D1-0-s2_20_t1rt2lt3l, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 2, 16, 6904, correct, P-T2S2D1-1-s2_16_t1lt2rt3r, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 3, 0, 5759, correct, P-T2S2D1-2-s2_0_t1rt2rt3l, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 4, 28, 5029, correct, P-T2S2D1-3-s2_28_t1lt2lt3l, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 5, 24, 2814, correct, P-T2S2D1-4-s2_24_t1rt2lt3l, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 6, 8, 4440, correct, P-T2S2D1-5-s2_8_t1lt2rt3l, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 7, 12, 4876, correct, P-T2S2D1-6-s2_12_t1rt2rt3r, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 8, 36, 3951, correct, P-T2S2D1-7-s2_36_t1lt2lt3r, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 9, 4, 5474, correct, P-T2S2D1-8-s2_4_t1rt2rt3l, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
5f8568d460bd670009af15a2, 360ba254b8c9719e59ddc6e6060fa339, 62, T2-S2-D1, 0, t2, s2, 10, 32, 8052, correct, P-T2S2D1-9-s2_32_t1rt2lt3r, 2021-03-24T10:51:07+0100, practice_T2_S2_D1
