participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 1, 40, 342414, correct, P-T3S2D2-0-s2_40_t1rt2rt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 2, 76, 2566.59999999, correct, P-T3S2D2-1-s2_76_t1lt2lt3r, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 3, 64, 2224.3, correct, P-T3S2D2-2-s2_64_t1rt2lt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 4, 60, 1740.5, correct, P-T3S2D2-3-s2_60_t1rt2lt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 5, 52, 1705.10000001, correct, P-T3S2D2-4-s2_52_t1rt2rt3r, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 6, 68, 2105, correct, P-T3S2D2-5-s2_68_t1lt2lt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 7, 72, 1854.1, correct, P-T3S2D2-6-s2_72_t1rt2lt3r, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 8, 48, 2039.70000001, correct, P-T3S2D2-7-s2_48_t1lt2rt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 9, 56, 1620.89999999, correct, P-T3S2D2-8-s2_56_t1lt2rt3r, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 10, 44, 1988.7, correct, P-T3S2D2-9-s2_44_t1rt2rt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 11, 40, 2757.1, error, P-T3S2D2-10-s2_40_t1rt2rt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 12, 64, 1886.39999999, correct, P-T3S2D2-11-s2_64_t1rt2lt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 13, 48, 2057.50000001, correct, P-T3S2D2-12-s2_48_t1lt2rt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 14, 60, 2172.2, correct, P-T3S2D2-13-s2_60_t1rt2lt3l, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 0, t3, s2, 15, 72, 1803.99999999, correct, P-T3S2D2-14-s2_72_t1rt2lt3r, 2021-03-24T11:01:20+0100, practice_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 1, 47, 385470.2, correct, T3S2D2-0-s2_47_t1lt2rt3l, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 2, 74, 1040.4, correct, T3S2D2-1-s2_74_t1rt2lt3r, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 3, 62, 2067.89999999, correct, T3S2D2-2-s2_62_t1rt2lt3l, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 4, 78, 1036.5, correct, T3S2D2-3-s2_78_t1lt2lt3r, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 5, 61, 1869.5, correct, T3S2D2-4-s2_61_t1rt2lt3l, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 6, 41, 2323.09999999, error, T3S2D2-5-s2_41_t1rt2rt3l, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 7, 300, 1102.30000001, correct, T3S2D2-attn-s2_300_t3l, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 8, 59, 921.099999992, correct, T3S2D2-6-s2_59_t1lt2rt3r, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 9, 73, 1058.9, correct, T3S2D2-7-s2_73_t1rt2lt3r, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 10, 65, 1765, correct, T3S2D2-8-s2_65_t1lt2lt3l, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 11, 71, 1138.1, correct, T3S2D2-9-s2_71_t1rt2lt3r, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 12, 43, 2353.3, correct, T3S2D2-10-s2_43_t1rt2rt3l, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 13, 53, 968.399999998, correct, T3S2D2-11-s2_53_t1rt2rt3r, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 14, 69, 1052.9, correct, T3S2D2-12-s2_69_t1lt2lt3l, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 15, 301, 968.400000012, correct, T3S2D2-attn-s2_301_t3r, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
5e19711e0432d32175901193, 369733ce5108a975fb41fbe4540df74a, 83, T3-S2-D2, 1, t3, s2, 16, 70, 1828.1, correct, T3S2D2-13-s2_70_t1rt2lt3r, 2021-03-24T11:02:17+0100, trial_T3_S2_D2
