participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 1, 20, 492634.3, correct, P-T3S3D1-0-s3_20_t1rt2lt3l, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 2, 32, 11472.3, correct, P-T3S3D1-1-s3_32_t1rt2lt3r, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 3, 0, 10772.1, correct, P-T3S3D1-2-s3_0_t1rt2rt3l, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 4, 16, 8806.00000004, correct, P-T3S3D1-3-s3_16_t1lt2rt3r, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 5, 28, 9163.49999997, correct, P-T3S3D1-4-s3_28_t1lt2lt3l, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 6, 8, 11436.3, correct, P-T3S3D1-5-s3_8_t1lt2rt3l, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 7, 36, 6813.90000001, correct, P-T3S3D1-6-s3_36_t1lt2lt3r, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 8, 24, 4677.8, correct, P-T3S3D1-7-s3_24_t1rt2lt3l, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 9, 4, 7247.80000001, correct, P-T3S3D1-8-s3_4_t1rt2rt3l, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
5f491a3555e3b941751215e2, 3f54ebd2fe9d5c399673cefd8d72647f, 90, T3-S3-D1, 0, t3, s3, 10, 12, 4123.29999998, correct, P-T3S3D1-9-s3_12_t1rt2rt3r, 2021-03-24T11:03:37+0100, practice_T3_S3_D1
