participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 1, 0, 183625, correct, P-T1S2D1-0-s2_0_t1rt2rt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 2, 12, 5281, correct, P-T1S2D1-1-s2_12_t1rt2rt3r, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 3, 28, 2601, correct, P-T1S2D1-2-s2_28_t1lt2lt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 4, 24, 2248, correct, P-T1S2D1-3-s2_24_t1rt2lt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 5, 8, 2340, correct, P-T1S2D1-4-s2_8_t1lt2rt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 6, 4, 2032, correct, P-T1S2D1-5-s2_4_t1rt2rt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 7, 36, 2278, correct, P-T1S2D1-6-s2_36_t1lt2lt3r, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 8, 16, 2171, correct, P-T1S2D1-7-s2_16_t1lt2rt3r, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 9, 32, 2181, correct, P-T1S2D1-8-s2_32_t1rt2lt3r, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 10, 20, 2532, correct, P-T1S2D1-9-s2_20_t1rt2lt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 11, 0, 2717, correct, P-T1S2D1-10-s2_0_t1rt2rt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 12, 28, 2421, correct, P-T1S2D1-11-s2_28_t1lt2lt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 13, 16, 2046, correct, P-T1S2D1-12-s2_16_t1lt2rt3r, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 14, 24, 2234, correct, P-T1S2D1-13-s2_24_t1rt2lt3l, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 0, t1, s2, 15, 36, 2016, correct, P-T1S2D1-14-s2_36_t1lt2lt3r, 2021-03-24T10:54:01+0100, practice_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 1, 38, 237522, correct, T1S2D1-0-s2_38_t1lt2lt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 2, 25, 1666, correct, T1S2D1-1-s2_25_t1lt2lt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 3, 6, 1433, correct, T1S2D1-2-s2_6_t1lt2rt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 4, 17, 2124, correct, T1S2D1-3-s2_17_t1lt2rt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 5, 30, 1500, correct, T1S2D1-4-s2_30_t1rt2lt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 6, 19, 1646, correct, T1S2D1-5-s2_19_t1lt2rt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 7, 300, 1065, correct, T1S2D1-attn-s2_300_t1l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 8, 34, 1304, correct, T1S2D1-6-s2_34_t1rt2lt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 9, 3, 1765, correct, T1S2D1-7-s2_3_t1rt2rt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 10, 1, 1067, correct, T1S2D1-8-s2_1_t1rt2rt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 11, 7, 1098, correct, T1S2D1-9-s2_7_t1lt2rt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 12, 37, 1367, correct, T1S2D1-10-s2_37_t1lt2lt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 13, 27, 1049, correct, T1S2D1-11-s2_27_t1lt2lt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 14, 22, 988, correct, T1S2D1-12-s2_22_t1rt2lt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 15, 301, 982, correct, T1S2D1-attn-s2_301_t1r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 16, 18, 1550, correct, T1S2D1-13-s2_18_t1lt2rt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 17, 29, 1417, correct, T1S2D1-14-s2_29_t1lt2lt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 18, 35, 1213, correct, T1S2D1-15-s2_35_t1lt2lt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 19, 10, 1005, correct, T1S2D1-16-s2_10_t1rt2rt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 20, 21, 1145, correct, T1S2D1-17-s2_21_t1rt2lt3l, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 21, 13, 1066, correct, T1S2D1-18-s2_13_t1rt2rt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
5f7694edc99f3112b494e122, 4e56526f61c35f3997061f1e4bc8b97a, 31, T1-S2-D1, 1, t1, s2, 22, 15, 1019, correct, T1S2D1-19-s2_15_t1lt2rt3r, 2021-03-24T10:54:55+0100, trial_T1_S2_D1
