participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 1, 36, 595725.92, correct, P-T3S2D1-0-s2_36_t1lt2lt3r, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 2, 16, 3651.83499991, correct, P-T3S2D1-1-s2_16_t1lt2rt3r, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 3, 24, 2332.07500004, correct, P-T3S2D1-2-s2_24_t1rt2lt3l, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 4, 32, 4088.40999997, correct, P-T3S2D1-3-s2_32_t1rt2lt3r, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 5, 8, 2858.25000005, correct, P-T3S2D1-4-s2_8_t1lt2rt3l, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 6, 20, 3821.23500004, error, P-T3S2D1-5-s2_20_t1rt2lt3l, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 7, 12, 2917.46999999, correct, P-T3S2D1-6-s2_12_t1rt2rt3r, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 8, 0, 2847.98999992, correct, P-T3S2D1-7-s2_0_t1rt2rt3l, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 9, 28, 1994.89000009, correct, P-T3S2D1-8-s2_28_t1lt2lt3l, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 10, 4, 2123.71999992, correct, P-T3S2D1-9-s2_4_t1rt2rt3l, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 11, 36, 2312.44500005, correct, P-T3S2D1-10-s2_36_t1lt2lt3r, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 12, 24, 2411.53499996, correct, P-T3S2D1-11-s2_24_t1rt2lt3l, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 13, 0, 4565.39, correct, P-T3S2D1-12-s2_0_t1rt2rt3l, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 14, 32, 2114.13500004, correct, P-T3S2D1-13-s2_32_t1rt2lt3r, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 0, t3, s2, 15, 12, 2769.16000003, correct, P-T3S2D1-14-s2_12_t1rt2rt3r, 2021-03-24T10:55:32+0100, practice_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 1, 39, 648072.735, correct, T3S2D1-0-s2_39_t1lt2lt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 2, 11, 812.904999941, correct, T3S2D1-1-s2_11_t1rt2rt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 3, 1, 1380.88000007, correct, T3S2D1-2-s2_1_t1rt2rt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 4, 22, 1070.36499993, correct, T3S2D1-3-s2_22_t1rt2lt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 5, 31, 854.935000069, correct, T3S2D1-4-s2_31_t1rt2lt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 6, 13, 973.149999976, error, T3S2D1-5-s2_13_t1rt2rt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 7, 300, 1784.48499995, correct, T3S2D1-attn-s2_300_t3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 8, 25, 903.535000049, correct, T3S2D1-6-s2_25_t1lt2lt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 9, 17, 1172.18999995, correct, T3S2D1-7-s2_17_t1lt2rt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 10, 9, 1121.545, correct, T3S2D1-8-s2_9_t1lt2rt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 11, 34, 1071.66999998, correct, T3S2D1-9-s2_34_t1rt2lt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 12, 26, 1280.66500009, correct, T3S2D1-10-s2_26_t1lt2lt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 13, 33, 892.709999927, correct, T3S2D1-11-s2_33_t1rt2lt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 14, 5, 1161.18500009, correct, T3S2D1-12-s2_5_t1lt2rt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 15, 301, 923.134999932, correct, T3S2D1-attn-s2_301_t3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 16, 14, 1120.17500005, correct, T3S2D1-13-s2_14_t1rt2rt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 17, 7, 1152.15999994, correct, T3S2D1-14-s2_7_t1lt2rt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 18, 6, 1090.58000008, correct, T3S2D1-15-s2_6_t1lt2rt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 19, 35, 884.764999966, correct, T3S2D1-16-s2_35_t1lt2lt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 20, 19, 1050.99499994, correct, T3S2D1-17-s2_19_t1lt2rt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 21, 29, 1072.81000004, correct, T3S2D1-18-s2_29_t1lt2lt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 22, 27, 752.949999995, correct, T3S2D1-19-s2_27_t1lt2lt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 23, 302, 754.270000034, correct, T3S2D1-attn-s2_302_t3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 24, 3, 1309.94499999, correct, T3S2D1-20-s2_3_t1rt2rt3l, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
602628fe49a39b2569dfdf0b, 4f4879c2b4128bd8b4f07debdb40ebde, 104, T3-S2-D1, 1, t3, s2, 25, 37, 1026.93499997, correct, T3S2D1-21-s2_37_t1lt2lt3r, 2021-03-24T10:56:14+0100, trial_T3_S2_D1
