participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 1, 36, 398662, error, P-T2S1D1-0-s1_36_t1lt2lt3r, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 2, 32, 15568, error, P-T2S1D1-1-s1_32_t1rt2lt3r, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 3, 8, 14334, correct, P-T2S1D1-2-s1_8_t1lt2rt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 4, 28, 11851, correct, P-T2S1D1-3-s1_28_t1lt2lt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 5, 24, 6465, correct, P-T2S1D1-4-s1_24_t1rt2lt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 6, 12, 9145, correct, P-T2S1D1-5-s1_12_t1rt2rt3r, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 7, 0, 10913, error, P-T2S1D1-6-s1_0_t1rt2rt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 8, 20, 10670, correct, P-T2S1D1-7-s1_20_t1rt2lt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 9, 4, 6269, correct, P-T2S1D1-8-s1_4_t1rt2rt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 10, 16, 16188, correct, P-T2S1D1-9-s1_16_t1lt2rt3r, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 11, 36, 6929, correct, P-T2S1D1-10-s1_36_t1lt2lt3r, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 12, 8, 5062, correct, P-T2S1D1-11-s1_8_t1lt2rt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 13, 20, 4939, correct, P-T2S1D1-12-s1_20_t1rt2lt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 14, 28, 3833, error, P-T2S1D1-13-s1_28_t1lt2lt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 0, t2, s1, 15, 0, 9439, error, P-T2S1D1-14-s1_0_t1rt2rt3l, 2021-03-24T10:53:40+0100, practice_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 1, t2, s1, 1, 14, 571744, correct, T2S1D1-0-s1_14_t1rt2rt3r, 2021-03-24T10:56:25+0100, trial_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 1, t2, s1, 2, 9, 7966, correct, T2S1D1-1-s1_9_t1lt2rt3l, 2021-03-24T10:56:25+0100, trial_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 1, t2, s1, 3, 11, 3132, correct, T2S1D1-2-s1_11_t1rt2rt3r, 2021-03-24T10:56:25+0100, trial_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 1, t2, s1, 4, 29, 2037, correct, T2S1D1-3-s1_29_t1lt2lt3l, 2021-03-24T10:56:25+0100, trial_T2_S1_D1
5c6d1972349b1f000104f83e, 5093209c3c4a761df8adda7ef5995aeb, 38, T2-S1-D1, 1, t2, s1, 5, 35, 4931, correct, T2S1D1-4-s1_35_t1lt2lt3r, 2021-03-24T10:56:25+0100, trial_T2_S1_D1
