participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 1, 24, 107290, correct, P-T1S1D1-0-s1_24_t1rt2lt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 2, 0, 7230.5, correct, P-T1S1D1-1-s1_0_t1rt2rt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 3, 36, 3645.1, correct, P-T1S1D1-2-s1_36_t1lt2lt3r, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 4, 20, 2805.5, correct, P-T1S1D1-3-s1_20_t1rt2lt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 5, 12, 3041.6, correct, P-T1S1D1-4-s1_12_t1rt2rt3r, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 6, 8, 4246.5, correct, P-T1S1D1-5-s1_8_t1lt2rt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 7, 32, 3054.1, correct, P-T1S1D1-6-s1_32_t1rt2lt3r, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 8, 4, 1973.6, correct, P-T1S1D1-7-s1_4_t1rt2rt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 9, 28, 3436.1, correct, P-T1S1D1-8-s1_28_t1lt2lt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 10, 16, 2248.5, correct, P-T1S1D1-9-s1_16_t1lt2rt3r, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 11, 24, 2924.8, correct, P-T1S1D1-10-s1_24_t1rt2lt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 12, 36, 3216.3, correct, P-T1S1D1-11-s1_36_t1lt2lt3r, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 13, 4, 2947.3, correct, P-T1S1D1-12-s1_4_t1rt2rt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 14, 20, 3155.6, correct, P-T1S1D1-13-s1_20_t1rt2lt3l, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 0, t1, s1, 15, 32, 2795.9, correct, P-T1S1D1-14-s1_32_t1rt2lt3r, 2021-03-24T10:43:57+0100, practice_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 1, t1, s1, 1, 1, 165399.8, correct, T1S1D1-0-s1_1_t1rt2rt3l, 2021-03-24T10:44:42+0100, trial_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 1, t1, s1, 2, 3, 2498.3, correct, T1S1D1-1-s1_3_t1rt2rt3l, 2021-03-24T10:44:42+0100, trial_T1_S1_D1
5e85281b0608ce0f59590fd0, 50cf7d6487de0319cea6cd7fd01c7c70, 5, T1-S1-D1, 1, t1, s1, 3, 27, 1039.6, correct, T1S1D1-2-s1_27_t1lt2lt3l, 2021-03-24T10:44:42+0100, trial_T1_S1_D1
