participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 1, 52, 359052, correct, P-T3S2D2-0-s2_52_t1rt2rt3r, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 2, 68, 2893, correct, P-T3S2D2-1-s2_68_t1lt2lt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 3, 60, 2276, correct, P-T3S2D2-2-s2_60_t1rt2lt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 4, 44, 2856, correct, P-T3S2D2-3-s2_44_t1rt2rt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 5, 76, 2616, correct, P-T3S2D2-4-s2_76_t1lt2lt3r, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 6, 56, 2843, correct, P-T3S2D2-5-s2_56_t1lt2rt3r, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 7, 72, 2107, correct, P-T3S2D2-6-s2_72_t1rt2lt3r, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 8, 40, 5935, correct, P-T3S2D2-7-s2_40_t1rt2rt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 9, 64, 1886, correct, P-T3S2D2-8-s2_64_t1rt2lt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 10, 48, 4694, correct, P-T3S2D2-9-s2_48_t1lt2rt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 11, 52, 2291, correct, P-T3S2D2-10-s2_52_t1rt2rt3r, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 12, 60, 2164, correct, P-T3S2D2-11-s2_60_t1rt2lt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 13, 40, 4066, error, P-T3S2D2-12-s2_40_t1rt2rt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 14, 44, 5252, correct, P-T3S2D2-13-s2_44_t1rt2rt3l, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 0, t3, s2, 15, 72, 1821, correct, P-T3S2D2-14-s2_72_t1rt2lt3r, 2021-03-24T10:59:32+0100, practice_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 1, 43, 415289, error, T3S2D2-0-s2_43_t1rt2rt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 2, 65, 1343, correct, T3S2D2-1-s2_65_t1lt2lt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 3, 66, 1858, correct, T3S2D2-2-s2_66_t1lt2lt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 4, 69, 1286, correct, T3S2D2-3-s2_69_t1lt2lt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 5, 67, 3100, error, T3S2D2-4-s2_67_t1lt2lt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 6, 79, 1117, correct, T3S2D2-5-s2_79_t1lt2lt3r, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 7, 300, 901, correct, T3S2D2-attn-s2_300_t3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 8, 46, 1582, correct, T3S2D2-6-s2_46_t1lt2rt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 9, 73, 1077, correct, T3S2D2-7-s2_73_t1rt2lt3r, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 10, 61, 2458, correct, T3S2D2-8-s2_61_t1rt2lt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 11, 63, 1573, correct, T3S2D2-9-s2_63_t1rt2lt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 12, 50, 1196, correct, T3S2D2-10-s2_50_t1rt2rt3r, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 13, 74, 1107, correct, T3S2D2-11-s2_74_t1rt2lt3r, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 14, 41, 1184, correct, T3S2D2-12-s2_41_t1rt2rt3l, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 15, 301, 928, correct, T3S2D2-attn-s2_301_t3r, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 16, 53, 1123, correct, T3S2D2-13-s2_53_t1rt2rt3r, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
5ff3397d7e067a860bd69413, 5422da670dd015191a52894123edf641, 75, T3-S2-D2, 1, t3, s2, 17, 59, 1099, correct, T3S2D2-14-s2_59_t1lt2rt3r, 2021-03-24T11:00:31+0100, trial_T3_S2_D2
