participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 1, 108, 1227942, correct, P-T3S2D3-0-s2_108_t1lt2lt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 2, 92, 4799, correct, P-T3S2D3-1-s2_92_t1rt2rt3r, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 3, 104, 2573, correct, P-T3S2D3-2-s2_104_t1rt2lt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 4, 96, 2290, correct, P-T3S2D3-3-s2_96_t1lt2rt3r, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 5, 112, 3923, correct, P-T3S2D3-4-s2_112_t1rt2lt3r, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 6, 80, 2434, correct, P-T3S2D3-5-s2_80_t1rt2rt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 7, 116, 1754, correct, P-T3S2D3-6-s2_116_t1lt2lt3r, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 8, 88, 1610, correct, P-T3S2D3-7-s2_88_t1lt2rt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 9, 84, 1740, correct, P-T3S2D3-8-s2_84_t1rt2rt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 10, 100, 2404, correct, P-T3S2D3-9-s2_100_t1rt2lt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 11, 108, 1627, correct, P-T3S2D3-10-s2_108_t1lt2lt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 12, 104, 1764, correct, P-T3S2D3-11-s2_104_t1rt2lt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 13, 88, 2397, correct, P-T3S2D3-12-s2_88_t1lt2rt3l, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 14, 96, 2434, correct, P-T3S2D3-13-s2_96_t1lt2rt3r, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 0, t3, s2, 15, 116, 2366, correct, P-T3S2D3-14-s2_116_t1lt2lt3r, 2021-03-30T21:23:50+0200, practice_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 1, 115, 1275830, correct, T3S2D3-0-s2_115_t1lt2lt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 2, 110, 2172, correct, T3S2D3-1-s2_110_t1rt2lt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 3, 97, 1579, correct, T3S2D3-2-s2_97_t1lt2rt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 4, 85, 1145, correct, T3S2D3-3-s2_85_t1lt2rt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 5, 98, 893, correct, T3S2D3-4-s2_98_t1lt2rt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 6, 89, 1966, correct, T3S2D3-5-s2_89_t1lt2rt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 7, 300, 1281, correct, T3S2D3-attn-s2_300_t3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 8, 99, 960, correct, T3S2D3-6-s2_99_t1lt2rt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 9, 83, 735, correct, T3S2D3-7-s2_83_t1rt2rt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 10, 117, 967, correct, T3S2D3-8-s2_117_t1lt2lt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 11, 102, 715, correct, T3S2D3-9-s2_102_t1rt2lt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 12, 107, 1006, correct, T3S2D3-10-s2_107_t1lt2lt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 13, 94, 918, correct, T3S2D3-11-s2_94_t1rt2rt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 14, 109, 784, correct, T3S2D3-12-s2_109_t1lt2lt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 15, 301, 1042, correct, T3S2D3-attn-s2_301_t3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 16, 81, 1050, correct, T3S2D3-13-s2_81_t1rt2rt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 17, 95, 1701, correct, T3S2D3-14-s2_95_t1lt2rt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 18, 119, 1102, correct, T3S2D3-15-s2_119_t1lt2lt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 19, 114, 1930, correct, T3S2D3-16-s2_114_t1rt2lt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 20, 91, 906, correct, T3S2D3-17-s2_91_t1rt2rt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 21, 87, 902, correct, T3S2D3-18-s2_87_t1lt2rt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 22, 93, 1062, correct, T3S2D3-19-s2_93_t1rt2rt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 23, 302, 867, correct, T3S2D3-attn-s2_302_t3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 24, 103, 991, correct, T3S2D3-20-s2_103_t1rt2lt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 25, 113, 983, correct, T3S2D3-21-s2_113_t1rt2lt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 26, 90, 1113, correct, T3S2D3-22-s2_90_t1rt2rt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 27, 82, 851, correct, T3S2D3-23-s2_82_t1rt2rt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 28, 86, 1282, correct, T3S2D3-24-s2_86_t1lt2rt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 29, 118, 2118, correct, T3S2D3-25-s2_118_t1lt2lt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 30, 111, 2232, correct, T3S2D3-26-s2_111_t1rt2lt3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 31, 303, 860, correct, T3S2D3-attn-s2_303_t3r, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 32, 101, 752, correct, T3S2D3-27-s2_101_t1rt2lt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 33, 105, 832, correct, T3S2D3-28-s2_105_t1lt2lt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
5d9338fc2f873000165f8e95, 5661803c0acd06471ffccdc1e76ff4df, 92, T3-S2-D3, 1, t3, s2, 34, 106, 756, correct, T3S2D3-29-s2_106_t1lt2lt3l, 2021-03-30T21:24:37+0200, trial_T3_S2_D3
