participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 1, 84, 872618.8, correct, P-T3S2D3-0-s2_84_t1rt2rt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 2, 116, 5615.69999997, correct, P-T3S2D3-1-s2_116_t1lt2lt3r, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 3, 92, 3205.89999994, error, P-T3S2D3-2-s2_92_t1rt2rt3r, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 4, 80, 4085.20000009, correct, P-T3S2D3-3-s2_80_t1rt2rt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 5, 88, 6535.70000012, correct, P-T3S2D3-4-s2_88_t1lt2rt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 6, 96, 2227.79999999, correct, P-T3S2D3-5-s2_96_t1lt2rt3r, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 7, 100, 2490.09999982, correct, P-T3S2D3-6-s2_100_t1rt2lt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 8, 108, 3360.89999997, correct, P-T3S2D3-7-s2_108_t1lt2lt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 9, 112, 2335.30000015, correct, P-T3S2D3-8-s2_112_t1rt2lt3r, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 10, 104, 5479.30000001, correct, P-T3S2D3-9-s2_104_t1rt2lt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 11, 84, 2762.39999989, correct, P-T3S2D3-10-s2_84_t1rt2rt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 12, 92, 5557.20000016, correct, P-T3S2D3-11-s2_92_t1rt2rt3r, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 13, 108, 3363.29999985, correct, P-T3S2D3-12-s2_108_t1lt2lt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 14, 80, 2423.6000001, correct, P-T3S2D3-13-s2_80_t1rt2rt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 0, t3, s2, 15, 100, 3286.49999993, correct, P-T3S2D3-14-s2_100_t1rt2lt3l, 2021-03-30T18:29:11+0200, practice_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 1, t3, s2, 1, 117, 938178.9, correct, T3S2D3-0-s2_117_t1lt2lt3r, 2021-03-30T18:30:59+0200, trial_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 1, t3, s2, 2, 86, 5556.30000005, error, T3S2D3-1-s2_86_t1lt2rt3l, 2021-03-30T18:30:59+0200, trial_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 1, t3, s2, 3, 106, 1824.80000006, correct, T3S2D3-2-s2_106_t1lt2lt3l, 2021-03-30T18:30:59+0200, trial_T3_S2_D3
5f32397f6eeae117b7b66456, 5898c92a80afc2b8e1e08d99251b67bb, 86, T3-S2-D3, 1, t3, s2, 4, 94, 4294.80000003, correct, T3S2D3-3-s2_94_t1rt2rt3r, 2021-03-30T18:30:59+0200, trial_T3_S2_D3
