participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 1, 72, 292649.3, correct, P-T1S3D2-0-s3_72_t1rt2lt3r, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 2, 48, 3027.19999995, correct, P-T1S3D2-1-s3_48_t1lt2rt3l, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 3, 44, 2771.10000001, correct, P-T1S3D2-2-s3_44_t1rt2rt3l, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 4, 64, 1758.20000004, correct, P-T1S3D2-3-s3_64_t1rt2lt3l, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 5, 68, 1782.79999999, correct, P-T1S3D2-4-s3_68_t1lt2lt3l, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 6, 76, 1891.59999997, correct, P-T1S3D2-5-s3_76_t1lt2lt3r, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 7, 52, 1935.50000002, correct, P-T1S3D2-6-s3_52_t1rt2rt3r, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 8, 56, 3033.59999997, correct, P-T1S3D2-7-s3_56_t1lt2rt3r, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 9, 40, 1631.50000002, correct, P-T1S3D2-8-s3_40_t1rt2rt3l, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 10, 60, 1847.60000004, correct, P-T1S3D2-9-s3_60_t1rt2lt3l, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 11, 72, 1799.09999995, correct, P-T1S3D2-10-s3_72_t1rt2lt3r, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 12, 44, 1867.10000003, correct, P-T1S3D2-11-s3_44_t1rt2rt3l, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 13, 56, 2196, correct, P-T1S3D2-12-s3_56_t1lt2rt3r, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 14, 64, 1639.8, correct, P-T1S3D2-13-s3_64_t1rt2lt3l, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 0, t1, s3, 15, 52, 1800.70000002, correct, P-T1S3D2-14-s3_52_t1rt2rt3r, 2021-03-24T10:54:57+0100, practice_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 1, 62, 330754.9, correct, T1S3D2-0-s3_62_t1rt2lt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 2, 41, 1268.50000001, correct, T1S3D2-1-s3_41_t1rt2rt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 3, 53, 863.100000017, correct, T1S3D2-2-s3_53_t1rt2rt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 4, 50, 1140.49999998, correct, T1S3D2-3-s3_50_t1rt2rt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 5, 55, 959.700000007, correct, T1S3D2-4-s3_55_t1lt2rt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 6, 75, 799.600000028, correct, T1S3D2-5-s3_75_t1lt2lt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 7, 300, 736.29999999, correct, T1S3D2-attn-s3_300_t1l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 8, 43, 842.100000009, correct, T1S3D2-6-s3_43_t1rt2rt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 9, 79, 654.500000004, correct, T1S3D2-7-s3_79_t1lt2lt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 10, 42, 897.699999972, correct, T1S3D2-8-s3_42_t1rt2rt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 11, 77, 726.49999999, correct, T1S3D2-9-s3_77_t1lt2lt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 12, 63, 1199.49999999, correct, T1S3D2-10-s3_63_t1rt2lt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 13, 70, 1002.00000004, correct, T1S3D2-11-s3_70_t1rt2lt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 14, 69, 831.10000001, correct, T1S3D2-12-s3_69_t1lt2lt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 15, 301, 762.400000007, correct, T1S3D2-attn-s3_301_t1r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 16, 46, 770.299999975, correct, T1S3D2-13-s3_46_t1lt2rt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 17, 73, 821.50000002, correct, T1S3D2-14-s3_73_t1rt2lt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 18, 59, 839.299999992, correct, T1S3D2-15-s3_59_t1lt2rt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 19, 78, 864.399999962, correct, T1S3D2-16-s3_78_t1lt2lt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 20, 66, 705.900000001, correct, T1S3D2-17-s3_66_t1lt2lt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 21, 45, 987.000000023, correct, T1S3D2-18-s3_45_t1lt2rt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 22, 67, 762.999999977, correct, T1S3D2-19-s3_67_t1lt2lt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 23, 302, 1742.40000005, correct, T1S3D2-attn-s3_302_t1l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 24, 49, 794.999999984, correct, T1S3D2-20-s3_49_t1lt2rt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 25, 61, 951.899999985, correct, T1S3D2-21-s3_61_t1rt2lt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 26, 54, 1071.60000002, correct, T1S3D2-22-s3_54_t1rt2rt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 27, 65, 854.300000006, correct, T1S3D2-23-s3_65_t1lt2lt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 28, 51, 777.099999948, correct, T1S3D2-24-s3_51_t1rt2rt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 29, 57, 741.000000038, correct, T1S3D2-25-s3_57_t1lt2rt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 30, 47, 831.000000006, correct, T1S3D2-26-s3_47_t1lt2rt3l, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 31, 303, 738.199999963, correct, T1S3D2-attn-s3_303_t1r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 32, 58, 720.900000015, correct, T1S3D2-27-s3_58_t1lt2rt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 33, 71, 730.299999996, correct, T1S3D2-28-s3_71_t1rt2lt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
60455b5049cb5f6961abf663, 64f3fc03623dd78c009f800d250869be, 35, T1-S3-D2, 1, t1, s3, 34, 74, 742.000000027, correct, T1S3D2-29-s3_74_t1rt2lt3r, 2021-03-24T10:55:30+0100, trial_T1_S3_D2
