participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 1, 16, 402223.6, correct, P-T3S2D1-0-s2_16_t1lt2rt3r, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 2, 20, 9264.59999988, correct, P-T3S2D1-1-s2_20_t1rt2lt3l, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 3, 36, 8393.49999977, correct, P-T3S2D1-2-s2_36_t1lt2lt3r, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 4, 32, 9872.70000018, correct, P-T3S2D1-3-s2_32_t1rt2lt3r, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 5, 8, 6846.49999999, correct, P-T3S2D1-4-s2_8_t1lt2rt3l, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 6, 24, 5296.89999996, correct, P-T3S2D1-5-s2_24_t1rt2lt3l, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 7, 28, 7937.70000013, correct, P-T3S2D1-6-s2_28_t1lt2lt3l, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 8, 4, 7998.60000005, error, P-T3S2D1-7-s2_4_t1rt2rt3l, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 9, 12, 4945.19999996, correct, P-T3S2D1-8-s2_12_t1rt2rt3r, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 10, 0, 5807.09999986, correct, P-T3S2D1-9-s2_0_t1rt2rt3l, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 11, 16, 3725.20000022, correct, P-T3S2D1-10-s2_16_t1lt2rt3r, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 12, 36, 2631.39999984, correct, P-T3S2D1-11-s2_36_t1lt2lt3r, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 13, 4, 4132.60000013, correct, P-T3S2D1-12-s2_4_t1rt2rt3l, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
5fafbc99efe38a2704aaf66a, 65ff7067c6d289862f612fa75834c54f, 103, T3-S2-D1, 0, t3, s2, 14, 32, 2099.79999997, correct, P-T3S2D1-13-s2_32_t1rt2lt3r, 2021-03-24T10:50:48+0100, practice_T3_S2_D1
