participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 1, 112, 463995.4, correct, P-T3S2D3-0-s2_112_t1rt2lt3r, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 2, 116, 6541.8999996, correct, P-T3S2D3-1-s2_116_t1lt2lt3r, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 3, 84, 1682.80000007, correct, P-T3S2D3-2-s2_84_t1rt2rt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 4, 100, 1899.10000004, correct, P-T3S2D3-3-s2_100_t1rt2lt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 5, 104, 1712.10000012, correct, P-T3S2D3-4-s2_104_t1rt2lt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 6, 92, 1522.70000009, correct, P-T3S2D3-5-s2_92_t1rt2rt3r, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 7, 80, 1616.5, correct, P-T3S2D3-6-s2_80_t1rt2rt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 8, 108, 1671.6, correct, P-T3S2D3-7-s2_108_t1lt2lt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 9, 96, 1532.7999997, correct, P-T3S2D3-8-s2_96_t1lt2rt3r, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 10, 88, 1482.30000027, correct, P-T3S2D3-9-s2_88_t1lt2rt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 11, 112, 1901.59999998, correct, P-T3S2D3-10-s2_112_t1rt2lt3r, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 12, 84, 1440.39999973, correct, P-T3S2D3-11-s2_84_t1rt2rt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 13, 108, 1537.60000039, correct, P-T3S2D3-12-s2_108_t1lt2lt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
5f9765e68112f6137e06db5d, 7ac0217b25e4a0f3afd62b2e454be891, 87, T3-S2-D3, 0, t3, s2, 14, 100, 1535.79999972, correct, P-T3S2D3-13-s2_100_t1rt2lt3l, 2021-03-24T10:58:43+0100, practice_T3_S2_D3
