participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 1, 60, 508957.9, correct, P-T3S1D2-0-s1_60_t1rt2lt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 2, 52, 4228.10000001, correct, P-T3S1D2-1-s1_52_t1rt2rt3r, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 3, 44, 2305.50000002, correct, P-T3S1D2-2-s1_44_t1rt2rt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 4, 64, 3010.79999999, correct, P-T3S1D2-3-s1_64_t1rt2lt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 5, 68, 1980.60000001, correct, P-T3S1D2-4-s1_68_t1lt2lt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 6, 48, 2354.99999998, correct, P-T3S1D2-5-s1_48_t1lt2rt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 7, 72, 1928.79999999, correct, P-T3S1D2-6-s1_72_t1rt2lt3r, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 8, 56, 2656.20000003, correct, P-T3S1D2-7-s1_56_t1lt2rt3r, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 9, 40, 2142.69999997, correct, P-T3S1D2-8-s1_40_t1rt2rt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 10, 76, 1925.60000002, correct, P-T3S1D2-9-s1_76_t1lt2lt3r, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 11, 60, 2372.39999999, correct, P-T3S1D2-10-s1_60_t1rt2lt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 12, 44, 1992.80000001, correct, P-T3S1D2-11-s1_44_t1rt2rt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 13, 56, 1820.49999997, correct, P-T3S1D2-12-s1_56_t1lt2rt3r, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 14, 64, 1842.60000003, correct, P-T3S1D2-13-s1_64_t1rt2lt3l, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 0, t3, s1, 15, 72, 1813.49999999, correct, P-T3S1D2-14-s1_72_t1rt2lt3r, 2021-03-30T19:19:42+0200, practice_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 1, 77, 556278.3, correct, T3S1D2-0-s1_77_t1lt2lt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 2, 59, 2116.00000004, correct, T3S1D2-1-s1_59_t1lt2rt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 3, 46, 2206.69999998, correct, T3S1D2-2-s1_46_t1lt2rt3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 4, 58, 1876.09999999, correct, T3S1D2-3-s1_58_t1lt2rt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 5, 51, 1372.19999998, correct, T3S1D2-4-s1_51_t1rt2rt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 6, 61, 1532.10000001, correct, T3S1D2-5-s1_61_t1rt2lt3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 7, 300, 1608.30000002, correct, T3S1D2-attn-s1_300_t3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 8, 63, 1644.6, correct, T3S1D2-6-s1_63_t1rt2lt3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 9, 65, 1287.79999999, correct, T3S1D2-7-s1_65_t1lt2lt3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 10, 73, 1128.39999999, correct, T3S1D2-8-s1_73_t1rt2lt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 11, 54, 2597.59999998, correct, T3S1D2-9-s1_54_t1rt2rt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 12, 75, 2394.80000001, error, T3S1D2-10-s1_75_t1lt2lt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 13, 71, 5364.70000003, correct, T3S1D2-11-s1_71_t1rt2lt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 14, 50, 1468.79999997, correct, T3S1D2-12-s1_50_t1rt2rt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 15, 301, 1340.00000003, correct, T3S1D2-attn-s1_301_t3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 16, 78, 1268.50000001, correct, T3S1D2-13-s1_78_t1lt2lt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 17, 47, 3709.70000001, correct, T3S1D2-14-s1_47_t1lt2rt3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 18, 49, 5054.89999999, error, T3S1D2-15-s1_49_t1lt2rt3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 19, 53, 1619.00000001, correct, T3S1D2-16-s1_53_t1rt2rt3r, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 20, 43, 2282.59999998, error, T3S1D2-17-s1_43_t1rt2rt3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
5f60d313747a9b045ec9b890, 7b3564ac424bec5314b86026ff37c629, 91, T3-S1-D2, 1, t3, s1, 21, 42, 1955.9, correct, T3S1D2-18-s1_42_t1rt2rt3l, 2021-03-30T19:20:55+0200, trial_T3_S1_D2
