participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 1, 88, 1126237.7, error, P-T2S1D3-0-s1_88_t1lt2rt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 3, 116, 6831.4, correct, P-T2S1D3-2-s1_116_t1lt2lt3r, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 4, 84, 1916.1, correct, P-T2S1D3-3-s1_84_t1rt2rt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 5, 108, 1537.9, correct, P-T2S1D3-4-s1_108_t1lt2lt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 6, 96, 1796.9, correct, P-T2S1D3-5-s1_96_t1lt2rt3r, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 7, 100, 1603.80000001, correct, P-T2S1D3-6-s1_100_t1rt2lt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 8, 104, 1675.2, correct, P-T2S1D3-7-s1_104_t1rt2lt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 9, 80, 1821.79999999, correct, P-T2S1D3-8-s1_80_t1rt2rt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 10, 112, 1965.00000001, correct, P-T2S1D3-9-s1_112_t1rt2lt3r, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 11, 88, 2387.99999999, correct, P-T2S1D3-10-s1_88_t1lt2rt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 12, 116, 1501.3, correct, P-T2S1D3-11-s1_116_t1lt2lt3r, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 13, 104, 1334.6, correct, P-T2S1D3-12-s1_104_t1rt2lt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 14, 84, 1485, correct, P-T2S1D3-13-s1_84_t1rt2rt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 0, t2, s1, 15, 100, 1369.4, correct, P-T2S1D3-14-s1_100_t1rt2lt3l, 2021-03-24T12:35:11+0100, practice_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 1, 99, 1163570, correct, T2S1D3-0-s1_99_t1lt2rt3r, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 2, 114, 1122.2, correct, T2S1D3-1-s1_114_t1rt2lt3r, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 3, 86, 879.400000005, correct, T2S1D3-2-s1_86_t1lt2rt3l, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 4, 83, 931.599999996, correct, T2S1D3-3-s1_83_t1rt2rt3l, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 5, 85, 2466.3, correct, T2S1D3-4-s1_85_t1lt2rt3l, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 6, 103, 789.000000004, correct, T2S1D3-5-s1_103_t1rt2lt3l, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 7, 300, 683.499999999, correct, T2S1D3-attn-s1_300_t2l, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 8, 95, 2563.4, correct, T2S1D3-6-s1_95_t1lt2rt3r, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 9, 90, 2012.40000001, correct, T2S1D3-7-s1_90_t1rt2rt3r, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 10, 94, 1065.8, correct, T2S1D3-8-s1_94_t1rt2rt3r, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
5f21ba3d626bc35d21b012b6, 89d6c15f0246214714e9cfad9b795836, 61, T2-S1-D3, 1, t2, s1, 11, 91, 2000.79999999, correct, T2S1D3-9-s1_91_t1rt2rt3r, 2021-03-24T12:35:59+0100, trial_T2_S1_D3
