participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 1, 80, 980197.4, correct, P-T2S1D3-0-s1_80_t1rt2rt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 2, 116, 14545.1, correct, P-T2S1D3-1-s1_116_t1lt2lt3r, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 3, 104, 7453.60000001, correct, P-T2S1D3-2-s1_104_t1rt2lt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 4, 88, 7649.6, correct, P-T2S1D3-3-s1_88_t1lt2rt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 5, 84, 7022.39999999, correct, P-T2S1D3-4-s1_84_t1rt2rt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 6, 96, 8628.30000001, correct, P-T2S1D3-5-s1_96_t1lt2rt3r, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 7, 92, 10403.9, correct, P-T2S1D3-6-s1_92_t1rt2rt3r, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 8, 100, 6929.19999998, correct, P-T2S1D3-7-s1_100_t1rt2lt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 9, 112, 10001.7, correct, P-T2S1D3-8-s1_112_t1rt2lt3r, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 10, 108, 9460.40000001, correct, P-T2S1D3-9-s1_108_t1lt2lt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 11, 80, 10852.7, correct, P-T2S1D3-10-s1_80_t1rt2rt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 12, 104, 7394.7, correct, P-T2S1D3-11-s1_104_t1rt2lt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
5cbb3b75fb8dfe00018398bd, 8c7f2d4b0de93984c36b14d4042ba7bc, 66, T2-S1-D3, 0, t2, s1, 13, 100, 6790.5, correct, P-T2S1D3-12-s1_100_t1rt2lt3l, 2021-03-24T11:07:34+0100, practice_T2_S1_D3
