participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 1, 64, 960005.6, correct, P-T1S1D2-0-s1_64_t1rt2lt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 2, 72, 6060.8, correct, P-T1S1D2-1-s1_72_t1rt2lt3r, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 3, 44, 2046.5, correct, P-T1S1D2-2-s1_44_t1rt2rt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 4, 52, 1773.2, correct, P-T1S1D2-3-s1_52_t1rt2rt3r, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 5, 60, 1754.6, correct, P-T1S1D2-4-s1_60_t1rt2lt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 6, 40, 2103, correct, P-T1S1D2-5-s1_40_t1rt2rt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 7, 68, 1838.2, correct, P-T1S1D2-6-s1_68_t1lt2lt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 8, 76, 1816, correct, P-T1S1D2-7-s1_76_t1lt2lt3r, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 9, 48, 1946.50000001, correct, P-T1S1D2-8-s1_48_t1lt2rt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 10, 56, 2379.4, correct, P-T1S1D2-9-s1_56_t1lt2rt3r, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 11, 64, 1960.9, correct, P-T1S1D2-10-s1_64_t1rt2lt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 12, 44, 2140.2, correct, P-T1S1D2-11-s1_44_t1rt2rt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 13, 76, 1963.7, correct, P-T1S1D2-12-s1_76_t1lt2lt3r, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 14, 52, 1651.4, correct, P-T1S1D2-13-s1_52_t1rt2rt3r, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 0, t1, s1, 15, 68, 1736.6, correct, P-T1S1D2-14-s1_68_t1lt2lt3l, 2021-03-24T11:13:56+0100, practice_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 1, 61, 1005256.6, correct, T1S1D2-0-s1_61_t1rt2lt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 2, 47, 1039.7, correct, T1S1D2-1-s1_47_t1lt2rt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 3, 57, 1209.5, correct, T1S1D2-2-s1_57_t1lt2rt3r, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 4, 63, 1583.90000001, correct, T1S1D2-3-s1_63_t1rt2lt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 5, 74, 1203.7, correct, T1S1D2-4-s1_74_t1rt2lt3r, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 6, 78, 1001.2, correct, T1S1D2-5-s1_78_t1lt2lt3r, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 7, 300, 1109.3, correct, T1S1D2-attn-s1_300_t1l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 8, 65, 1105.3, correct, T1S1D2-6-s1_65_t1lt2lt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 9, 67, 1955.9, correct, T1S1D2-7-s1_67_t1lt2lt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 10, 69, 1105.2, correct, T1S1D2-8-s1_69_t1lt2lt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 11, 43, 931.700000001, correct, T1S1D2-9-s1_43_t1rt2rt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 12, 73, 1229.4, correct, T1S1D2-10-s1_73_t1rt2lt3r, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 13, 62, 1628.2, correct, T1S1D2-11-s1_62_t1rt2lt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 14, 42, 1168.8, correct, T1S1D2-12-s1_42_t1rt2rt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 15, 301, 1400.5, correct, T1S1D2-attn-s1_301_t1r, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 16, 59, 1728.8, correct, T1S1D2-13-s1_59_t1lt2rt3r, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
603914a2ed55293204edf74e, 8d7584d95544e52e14c77f5bd9f4c0c6, 19, T1-S1-D2, 1, t1, s1, 17, 49, 1152.7, correct, T1S1D2-14-s1_49_t1lt2rt3l, 2021-03-24T11:14:48+0100, trial_T1_S1_D2
