participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 1, 76, 379613, correct, P-T3S2D2-0-s2_76_t1lt2lt3r, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 2, 56, 5405, correct, P-T3S2D2-1-s2_56_t1lt2rt3r, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 3, 68, 3110, correct, P-T3S2D2-2-s2_68_t1lt2lt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 4, 40, 5022, correct, P-T3S2D2-3-s2_40_t1rt2rt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 5, 72, 2640, correct, P-T3S2D2-4-s2_72_t1rt2lt3r, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 6, 48, 2513, correct, P-T3S2D2-5-s2_48_t1lt2rt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 7, 64, 2387, correct, P-T3S2D2-6-s2_64_t1rt2lt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 8, 52, 2985, correct, P-T3S2D2-7-s2_52_t1rt2rt3r, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 9, 60, 2645, correct, P-T3S2D2-8-s2_60_t1rt2lt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 10, 44, 2864, correct, P-T3S2D2-9-s2_44_t1rt2rt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 11, 76, 3119, correct, P-T3S2D2-10-s2_76_t1lt2lt3r, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 12, 68, 2651, correct, P-T3S2D2-11-s2_68_t1lt2lt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 13, 52, 3386, correct, P-T3S2D2-12-s2_52_t1rt2rt3r, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 14, 40, 3426, correct, P-T3S2D2-13-s2_40_t1rt2rt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 0, t3, s2, 15, 64, 2343, correct, P-T3S2D2-14-s2_64_t1rt2lt3l, 2021-03-24T10:56:55+0100, practice_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 1, 58, 434702, correct, T3S2D2-0-s2_58_t1lt2rt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 2, 46, 1318, correct, T3S2D2-1-s2_46_t1lt2rt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 3, 67, 1714, correct, T3S2D2-2-s2_67_t1lt2lt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 4, 59, 1432, correct, T3S2D2-3-s2_59_t1lt2rt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 5, 61, 876, correct, T3S2D2-4-s2_61_t1rt2lt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 6, 75, 1626, correct, T3S2D2-5-s2_75_t1lt2lt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 7, 300, 1384, correct, T3S2D2-attn-s2_300_t3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 8, 66, 1238, correct, T3S2D2-6-s2_66_t1lt2lt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 9, 41, 1410, correct, T3S2D2-7-s2_41_t1rt2rt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 10, 45, 1007, correct, T3S2D2-8-s2_45_t1lt2rt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 11, 78, 2832, correct, T3S2D2-9-s2_78_t1lt2lt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 12, 54, 1570, correct, T3S2D2-10-s2_54_t1rt2rt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 13, 51, 1227, correct, T3S2D2-11-s2_51_t1rt2rt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 14, 77, 1476, correct, T3S2D2-12-s2_77_t1lt2lt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 15, 301, 1268, correct, T3S2D2-attn-s2_301_t3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 16, 73, 2695, correct, T3S2D2-13-s2_73_t1rt2lt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 17, 62, 1451, correct, T3S2D2-14-s2_62_t1rt2lt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 18, 53, 1186, correct, T3S2D2-15-s2_53_t1rt2rt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 19, 74, 1800, correct, T3S2D2-16-s2_74_t1rt2lt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 20, 70, 1741, correct, T3S2D2-17-s2_70_t1rt2lt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 21, 55, 1813, correct, T3S2D2-18-s2_55_t1lt2rt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 22, 43, 1923, correct, T3S2D2-19-s2_43_t1rt2rt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 23, 302, 846, correct, T3S2D2-attn-s2_302_t3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 24, 57, 1241, correct, T3S2D2-20-s2_57_t1lt2rt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 25, 50, 1280, correct, T3S2D2-21-s2_50_t1rt2rt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 26, 79, 2394, correct, T3S2D2-22-s2_79_t1lt2lt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 27, 65, 1150, correct, T3S2D2-23-s2_65_t1lt2lt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 28, 71, 1266, correct, T3S2D2-24-s2_71_t1rt2lt3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 29, 49, 2520, correct, T3S2D2-25-s2_49_t1lt2rt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 30, 47, 1388, correct, T3S2D2-26-s2_47_t1lt2rt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 31, 303, 791, correct, T3S2D2-attn-s2_303_t3r, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 32, 42, 1098, correct, T3S2D2-27-s2_42_t1rt2rt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 33, 63, 2066, error, T3S2D2-28-s2_63_t1rt2lt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
5ddd231d5c5638c7c2d5556a, 9d59581fd274c400046655153928129b, 81, T3-S2-D2, 1, t3, s2, 34, 69, 1083, correct, T3S2D2-29-s2_69_t1lt2lt3l, 2021-03-24T10:57:51+0100, trial_T3_S2_D2
