participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 1, 108, 620473, correct, P-T2S3D3-0-s3_108_t1lt2lt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 2, 88, 5550, correct, P-T2S3D3-1-s3_88_t1lt2rt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 3, 104, 4598, correct, P-T2S3D3-2-s3_104_t1rt2lt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 4, 84, 3160, correct, P-T2S3D3-3-s3_84_t1rt2rt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 5, 112, 5286, correct, P-T2S3D3-4-s3_112_t1rt2lt3r, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 6, 80, 4023, correct, P-T2S3D3-5-s3_80_t1rt2rt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 7, 116, 3634, correct, P-T2S3D3-6-s3_116_t1lt2lt3r, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 8, 92, 2655, correct, P-T2S3D3-7-s3_92_t1rt2rt3r, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 9, 96, 2084, correct, P-T2S3D3-8-s3_96_t1lt2rt3r, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 10, 100, 2473, correct, P-T2S3D3-9-s3_100_t1rt2lt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 11, 108, 2125, correct, P-T2S3D3-10-s3_108_t1lt2lt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 12, 104, 2967, correct, P-T2S3D3-11-s3_104_t1rt2lt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 13, 92, 1667, correct, P-T2S3D3-12-s3_92_t1rt2rt3r, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 14, 84, 1582, correct, P-T2S3D3-13-s3_84_t1rt2rt3l, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 0, t2, s3, 15, 116, 3627, correct, P-T2S3D3-14-s3_116_t1lt2lt3r, 2021-03-24T10:49:26+0100, practice_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 1, 111, 677785, correct, T2S3D3-0-s3_111_t1rt2lt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 2, 107, 2457, correct, T2S3D3-1-s3_107_t1lt2lt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 3, 87, 1110, correct, T2S3D3-2-s3_87_t1lt2rt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 4, 115, 1007, correct, T2S3D3-3-s3_115_t1lt2lt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 5, 91, 1282, correct, T2S3D3-4-s3_91_t1rt2rt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 6, 101, 2826, correct, T2S3D3-5-s3_101_t1rt2lt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 7, 300, 959, correct, T2S3D3-attn-s3_300_t2l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 8, 94, 1543, correct, T2S3D3-6-s3_94_t1rt2rt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 9, 90, 1753, correct, T2S3D3-7-s3_90_t1rt2rt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 10, 117, 1403, correct, T2S3D3-8-s3_117_t1lt2lt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 11, 110, 1347, correct, T2S3D3-9-s3_110_t1rt2lt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 12, 109, 2752, correct, T2S3D3-10-s3_109_t1lt2lt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 13, 86, 1243, correct, T2S3D3-11-s3_86_t1lt2rt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 14, 103, 2364, correct, T2S3D3-12-s3_103_t1rt2lt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 15, 301, 1262, correct, T2S3D3-attn-s3_301_t2r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 16, 106, 1398, correct, T2S3D3-13-s3_106_t1lt2lt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 17, 114, 2326, correct, T2S3D3-14-s3_114_t1rt2lt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 18, 99, 3315, correct, T2S3D3-15-s3_99_t1lt2rt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 19, 118, 1100, correct, T2S3D3-16-s3_118_t1lt2lt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 20, 81, 2268, correct, T2S3D3-17-s3_81_t1rt2rt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 21, 105, 1283, correct, T2S3D3-18-s3_105_t1lt2lt3l, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
5f5a61631c93d2104246c959, 9dfae7acf801719b570449e08843b578, 45, T2-S3-D3, 1, t2, s3, 22, 98, 2408, correct, T2S3D3-19-s3_98_t1lt2rt3r, 2021-03-24T10:50:29+0100, trial_T2_S3_D3
