participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 1, 28, 269341, correct, P-T3S3D1-0-s3_28_t1lt2lt3l, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 2, 20, 9368, correct, P-T3S3D1-1-s3_20_t1rt2lt3l, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 3, 12, 8266, correct, P-T3S3D1-2-s3_12_t1rt2rt3r, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 4, 16, 6230, correct, P-T3S3D1-3-s3_16_t1lt2rt3r, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 5, 32, 6461, correct, P-T3S3D1-4-s3_32_t1rt2lt3r, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 6, 4, 10664, correct, P-T3S3D1-5-s3_4_t1rt2rt3l, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 7, 0, 6621, correct, P-T3S3D1-6-s3_0_t1rt2rt3l, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 8, 36, 3584, correct, P-T3S3D1-7-s3_36_t1lt2lt3r, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 9, 8, 2959, correct, P-T3S3D1-8-s3_8_t1lt2rt3l, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 10, 24, 2453, correct, P-T3S3D1-9-s3_24_t1rt2lt3l, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 11, 28, 2738, correct, P-T3S3D1-10-s3_28_t1lt2lt3l, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 12, 12, 16467, correct, P-T3S3D1-11-s3_12_t1rt2rt3r, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 13, 36, 4560, correct, P-T3S3D1-12-s3_36_t1lt2lt3r, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 14, 16, 4629, correct, P-T3S3D1-13-s3_16_t1lt2rt3r, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 0, t3, s3, 15, 0, 3351, correct, P-T3S3D1-14-s3_0_t1rt2rt3l, 2021-03-24T10:53:30+0100, practice_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 1, 3, 395774, correct, T3S3D1-0-s3_3_t1rt2rt3l, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 2, 11, 3073, correct, T3S3D1-1-s3_11_t1rt2rt3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 3, 19, 3034, correct, T3S3D1-2-s3_19_t1lt2rt3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 4, 38, 2497, correct, T3S3D1-3-s3_38_t1lt2lt3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 5, 9, 4245, correct, T3S3D1-4-s3_9_t1lt2rt3l, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 6, 10, 3678, correct, T3S3D1-5-s3_10_t1rt2rt3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 7, 300, 1387, correct, T3S3D1-attn-s3_300_t3l, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 8, 18, 3591, correct, T3S3D1-6-s3_18_t1lt2rt3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 9, 33, 2340, correct, T3S3D1-7-s3_33_t1rt2lt3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 10, 23, 2122, correct, T3S3D1-8-s3_23_t1rt2lt3l, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 11, 2, 3436, correct, T3S3D1-9-s3_2_t1rt2rt3l, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 12, 34, 1786, correct, T3S3D1-10-s3_34_t1rt2lt3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 13, 37, 2515, correct, T3S3D1-11-s3_37_t1lt2lt3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 14, 22, 6926, correct, T3S3D1-12-s3_22_t1rt2lt3l, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 15, 301, 1515, correct, T3S3D1-attn-s3_301_t3r, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
5ffc1e3a5a63f814db16ff29, a1519c65472af68a8a7fc7594007ec73, 88, T3-S3-D1, 1, t3, s3, 16, 29, 1731, correct, T3S3D1-13-s3_29_t1lt2lt3l, 2021-03-24T10:55:53+0100, trial_T3_S3_D1
