participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 1, 80, 572070, error, P-T1S3D3-0-s3_80_t1rt2rt3l, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 2, 112, 3569, correct, P-T1S3D3-1-s3_112_t1rt2lt3r, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 3, 108, 2158, correct, P-T1S3D3-2-s3_108_t1lt2lt3l, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 4, 116, 2173, correct, P-T1S3D3-3-s3_116_t1lt2lt3r, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 5, 104, 1966, correct, P-T1S3D3-4-s3_104_t1rt2lt3l, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 6, 92, 1572, correct, P-T1S3D3-5-s3_92_t1rt2rt3r, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 7, 88, 2006, correct, P-T1S3D3-6-s3_88_t1lt2rt3l, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 8, 100, 1771, correct, P-T1S3D3-7-s3_100_t1rt2lt3l, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 9, 84, 1656, correct, P-T1S3D3-8-s3_84_t1rt2rt3l, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 10, 96, 1987, correct, P-T1S3D3-9-s3_96_t1lt2rt3r, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
602c40fc6ef6bd509c29a25f, a7c096c244b8721921d0bdcb3d66c629, 3, T1-S3-D3, 0, t1, s3, 11, 80, 1847, correct, P-T1S3D3-10-s3_80_t1rt2rt3l, 2021-03-24T10:57:18+0100, practice_T1_S3_D3
