participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 1, 56, 448781, correct, P-T2S1D2-0-s1_56_t1lt2rt3r, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 2, 52, 2417, correct, P-T2S1D2-1-s1_52_t1rt2rt3r, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 3, 40, 4500, correct, P-T2S1D2-2-s1_40_t1rt2rt3l, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 4, 68, 4586, correct, P-T2S1D2-3-s1_68_t1lt2lt3l, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 5, 48, 4637, correct, P-T2S1D2-4-s1_48_t1lt2rt3l, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 6, 76, 3660, correct, P-T2S1D2-5-s1_76_t1lt2lt3r, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 7, 72, 2383, correct, P-T2S1D2-6-s1_72_t1rt2lt3r, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 8, 60, 2050, correct, P-T2S1D2-7-s1_60_t1rt2lt3l, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 9, 44, 1834, correct, P-T2S1D2-8-s1_44_t1rt2rt3l, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
5a999816b5e2110001c6bf7b, a909c184b0a3034f194cd5ed63fba8cc, 57, T2-S1-D2, 0, t2, s1, 10, 64, 2268, correct, P-T2S1D2-9-s1_64_t1rt2lt3l, 2021-03-24T10:59:03+0100, practice_T2_S1_D2
