participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 1, 92, 515414.2, correct, P-T2S3D3-0-s3_92_t1rt2rt3r, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 2, 112, 4317.1, correct, P-T2S3D3-1-s3_112_t1rt2lt3r, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 3, 116, 2802.8, correct, P-T2S3D3-2-s3_116_t1lt2lt3r, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 4, 100, 3042.3, correct, P-T2S3D3-3-s3_100_t1rt2lt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 5, 104, 2185.19999999, correct, P-T2S3D3-4-s3_104_t1rt2lt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 6, 80, 1953.59999999, correct, P-T2S3D3-5-s3_80_t1rt2rt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 7, 88, 2924.7, correct, P-T2S3D3-6-s3_88_t1lt2rt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 8, 84, 2729.30000001, correct, P-T2S3D3-7-s3_84_t1rt2rt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 9, 96, 2720.09999999, correct, P-T2S3D3-8-s3_96_t1lt2rt3r, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 10, 108, 2716.10000001, correct, P-T2S3D3-9-s3_108_t1lt2lt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 11, 92, 2451, correct, P-T2S3D3-10-s3_92_t1rt2rt3r, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 12, 116, 2907.5, correct, P-T2S3D3-11-s3_116_t1lt2lt3r, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 13, 84, 3414.2, correct, P-T2S3D3-12-s3_84_t1rt2rt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 14, 100, 2063.4, error, P-T2S3D3-13-s3_100_t1rt2lt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 0, t2, s3, 15, 88, 2332.7, correct, P-T2S3D3-14-s3_88_t1lt2rt3l, 2021-03-24T10:54:41+0100, practice_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 1, 113, 562664.7, correct, T2S3D3-0-s3_113_t1rt2lt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 2, 107, 1442.4, correct, T2S3D3-1-s3_107_t1lt2lt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 3, 87, 1481.3, correct, T2S3D3-2-s3_87_t1lt2rt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 4, 93, 2442.1, correct, T2S3D3-3-s3_93_t1rt2rt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 5, 111, 1000.1, correct, T2S3D3-4-s3_111_t1rt2lt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 6, 110, 1047.1, correct, T2S3D3-5-s3_110_t1rt2lt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 7, 300, 1063.30000001, correct, T2S3D3-attn-s3_300_t2l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 8, 95, 1959.9, correct, T2S3D3-6-s3_95_t1lt2rt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 9, 105, 1126.2, correct, T2S3D3-7-s3_105_t1lt2lt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 10, 94, 1899.1, correct, T2S3D3-8-s3_94_t1rt2rt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 11, 101, 927.4, correct, T2S3D3-9-s3_101_t1rt2lt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 12, 81, 1262.40000001, correct, T2S3D3-10-s3_81_t1rt2rt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 13, 90, 1303.99999999, correct, T2S3D3-11-s3_90_t1rt2rt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 14, 106, 1379.40000001, correct, T2S3D3-12-s3_106_t1lt2lt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 15, 301, 1626.39999999, correct, T2S3D3-attn-s3_301_t2r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 16, 82, 1219.50000001, correct, T2S3D3-13-s3_82_t1rt2rt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 17, 91, 2182.7, correct, T2S3D3-14-s3_91_t1rt2rt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 18, 117, 1307.8, correct, T2S3D3-15-s3_117_t1lt2lt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 19, 99, 1326.40000001, correct, T2S3D3-16-s3_99_t1lt2rt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 20, 85, 1541.9, error, T2S3D3-17-s3_85_t1lt2rt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 21, 114, 2017.2, correct, T2S3D3-18-s3_114_t1rt2lt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 22, 109, 1592.39999999, correct, T2S3D3-19-s3_109_t1lt2lt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 23, 302, 1070.30000001, correct, T2S3D3-attn-s3_302_t2l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 24, 103, 2579.79999999, correct, T2S3D3-20-s3_103_t1rt2lt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 25, 119, 1395.8, correct, T2S3D3-21-s3_119_t1lt2lt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 26, 97, 1435.7, correct, T2S3D3-22-s3_97_t1lt2rt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 27, 102, 2476.7, correct, T2S3D3-23-s3_102_t1rt2lt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 28, 83, 1808.2, correct, T2S3D3-24-s3_83_t1rt2rt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 29, 89, 1729.4, correct, T2S3D3-25-s3_89_t1lt2rt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 30, 86, 1690.40000001, correct, T2S3D3-26-s3_86_t1lt2rt3l, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 31, 303, 1968.4, correct, T2S3D3-attn-s3_303_t2r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 32, 115, 1192.7, correct, T2S3D3-27-s3_115_t1lt2lt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 33, 98, 2372.9, correct, T2S3D3-28-s3_98_t1lt2rt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
602568254ef2f30ac8cb1866, b085f1d880b43459684ff6c6d4f9fe7a, 40, T2-S3-D3, 1, t2, s3, 34, 118, 1463.8, correct, T2S3D3-29-s3_118_t1lt2lt3r, 2021-03-24T10:55:38+0100, trial_T2_S3_D3
