participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 1, 80, 353729, correct, P-T2S3D3-0-s3_80_t1rt2rt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 2, 84, 2460.39999998, correct, P-T2S3D3-1-s3_84_t1rt2rt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 3, 104, 2127.89999996, correct, P-T2S3D3-2-s3_104_t1rt2lt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 4, 112, 4622.69999995, correct, P-T2S3D3-3-s3_112_t1rt2lt3r, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 5, 100, 2123.09999997, correct, P-T2S3D3-4-s3_100_t1rt2lt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 6, 116, 2343.70000008, correct, P-T2S3D3-5-s3_116_t1lt2lt3r, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 7, 88, 3545.20000005, correct, P-T2S3D3-6-s3_88_t1lt2rt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 8, 96, 2394.09999992, correct, P-T2S3D3-7-s3_96_t1lt2rt3r, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 9, 92, 2318.90000007, correct, P-T2S3D3-8-s3_92_t1rt2rt3r, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 10, 108, 2076.20000001, correct, P-T2S3D3-9-s3_108_t1lt2lt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 11, 80, 2447.6999999, correct, P-T2S3D3-10-s3_80_t1rt2rt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 12, 104, 1997.60000012, correct, P-T2S3D3-11-s3_104_t1rt2lt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 13, 96, 6802.90000001, correct, P-T2S3D3-12-s3_96_t1lt2rt3r, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 14, 112, 2059.29999985, correct, P-T2S3D3-13-s3_112_t1rt2lt3r, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 0, t2, s3, 15, 88, 3261.39999996, correct, P-T2S3D3-14-s3_88_t1lt2rt3l, 2021-03-24T11:06:01+0100, practice_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 1, t2, s3, 1, 103, 430146, correct, T2S3D3-0-s3_103_t1rt2lt3l, 2021-03-24T11:07:03+0100, trial_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 1, t2, s3, 2, 97, 1020.59999993, correct, T2S3D3-1-s3_97_t1lt2rt3r, 2021-03-24T11:07:03+0100, trial_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 1, t2, s3, 3, 93, 1744.90000005, correct, T2S3D3-2-s3_93_t1rt2rt3r, 2021-03-24T11:07:03+0100, trial_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 1, t2, s3, 4, 118, 1014.19999986, correct, T2S3D3-3-s3_118_t1lt2lt3r, 2021-03-24T11:07:03+0100, trial_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 1, t2, s3, 5, 90, 2067.60000018, correct, T2S3D3-4-s3_90_t1rt2rt3r, 2021-03-24T11:07:03+0100, trial_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 1, t2, s3, 6, 99, 1876.09999999, correct, T2S3D3-5-s3_99_t1lt2rt3r, 2021-03-24T11:07:03+0100, trial_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 1, t2, s3, 7, 300, 863.699999871, correct, T2S3D3-attn-s3_300_t2l, 2021-03-24T11:07:03+0100, trial_T2_S3_D3
5f0c68879df0505d10a18c33, b80b28827b539cbe34b9a3c6fc1e791d, 44, T2-S3-D3, 1, t2, s3, 8, 107, 1823.00000009, correct, T2S3D3-6-s3_107_t1lt2lt3l, 2021-03-24T11:07:03+0100, trial_T2_S3_D3
