participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 1, 108, 605636.5, correct, P-T2S2D3-0-s2_108_t1lt2lt3l, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 2, 100, 2712.7, correct, P-T2S2D3-1-s2_100_t1rt2lt3l, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 3, 104, 2382.3, correct, P-T2S2D3-2-s2_104_t1rt2lt3l, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 4, 116, 3437.4, correct, P-T2S2D3-3-s2_116_t1lt2lt3r, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 5, 84, 1833.70000002, correct, P-T2S2D3-4-s2_84_t1rt2rt3l, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 6, 88, 2767.7, correct, P-T2S2D3-5-s2_88_t1lt2rt3l, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 7, 80, 2185.29999998, correct, P-T2S2D3-6-s2_80_t1rt2rt3l, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 8, 92, 2145.40000001, correct, P-T2S2D3-7-s2_92_t1rt2rt3r, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 9, 96, 1874.60000001, correct, P-T2S2D3-8-s2_96_t1lt2rt3r, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 10, 112, 3976.49999999, correct, P-T2S2D3-9-s2_112_t1rt2lt3r, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 11, 108, 1918.6, correct, P-T2S2D3-10-s2_108_t1lt2lt3l, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
5e9ef5d02f8d2d04be8a78ae, b922f4b586bc2284e17c348a6f3f0e08, 49, T2-S2-D3, 0, t2, s2, 12, 104, 2376.69999999, correct, P-T2S2D3-11-s2_104_t1rt2lt3l, 2021-03-24T11:04:33+0100, practice_T2_S2_D3
