participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 1, 104, 650973, correct, P-T1S3D3-0-s3_104_t1rt2lt3l, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 2, 84, 2971.40000004, correct, P-T1S3D3-1-s3_84_t1rt2rt3l, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 3, 96, 1974.3, correct, P-T1S3D3-2-s3_96_t1lt2rt3r, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 4, 116, 2777.89999999, correct, P-T1S3D3-3-s3_116_t1lt2lt3r, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 5, 80, 3286.89999995, correct, P-T1S3D3-4-s3_80_t1rt2rt3l, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 6, 100, 3658.30000001, correct, P-T1S3D3-5-s3_100_t1rt2lt3l, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 7, 112, 2098.49999996, correct, P-T1S3D3-6-s3_112_t1rt2lt3r, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 8, 108, 2370.30000007, correct, P-T1S3D3-7-s3_108_t1lt2lt3l, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 9, 88, 1922.09999997, correct, P-T1S3D3-8-s3_88_t1lt2rt3l, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 10, 92, 3942.00000004, correct, P-T1S3D3-9-s3_92_t1rt2rt3r, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 11, 104, 2588.99999992, correct, P-T1S3D3-10-s3_104_t1rt2lt3l, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 12, 96, 2322.09999999, correct, P-T1S3D3-11-s3_96_t1lt2rt3r, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 13, 108, 2176.60000001, correct, P-T1S3D3-12-s3_108_t1lt2lt3l, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 14, 116, 2288.50000002, correct, P-T1S3D3-13-s3_116_t1lt2lt3r, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 0, t1, s3, 15, 112, 1818.80000001, correct, P-T1S3D3-14-s3_112_t1rt2lt3r, 2021-03-24T10:49:59+0100, practice_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 1, 106, 700223.4, correct, T1S3D3-0-s3_106_t1lt2lt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 2, 81, 1343.90000009, correct, T1S3D3-1-s3_81_t1rt2rt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 3, 113, 1320.0999999, correct, T1S3D3-2-s3_113_t1rt2lt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 4, 109, 1818.6, correct, T1S3D3-3-s3_109_t1lt2lt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 5, 111, 2101.50000011, correct, T1S3D3-4-s3_111_t1rt2lt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 6, 99, 1997.7999999, correct, T1S3D3-5-s3_99_t1lt2rt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 7, 300, 1796.6, correct, T1S3D3-attn-s3_300_t1l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 8, 101, 1729.60000008, correct, T1S3D3-6-s3_101_t1rt2lt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 9, 90, 1222.89999994, correct, T1S3D3-7-s3_90_t1rt2rt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 10, 103, 1421.50000005, correct, T1S3D3-8-s3_103_t1rt2lt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 11, 117, 1387.09999993, correct, T1S3D3-9-s3_117_t1lt2lt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 12, 105, 1239.30000002, correct, T1S3D3-10-s3_105_t1lt2lt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 13, 82, 1523.3, correct, T1S3D3-11-s3_82_t1rt2rt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 14, 85, 1802.29999998, correct, T1S3D3-12-s3_85_t1lt2rt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 15, 301, 1432.40000005, correct, T1S3D3-attn-s3_301_t1r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 16, 107, 2422.60000005, correct, T1S3D3-13-s3_107_t1lt2lt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 17, 95, 1657.89999999, correct, T1S3D3-14-s3_95_t1lt2rt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 18, 98, 1477.49999992, correct, T1S3D3-15-s3_98_t1lt2rt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 19, 91, 1039.90000009, correct, T1S3D3-16-s3_91_t1rt2rt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 20, 114, 2476.29999998, correct, T1S3D3-17-s3_114_t1rt2lt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 21, 87, 1755.99999994, correct, T1S3D3-18-s3_87_t1lt2rt3l, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
5fc4e06f0237ca000993e4b7, ba82de6ce14b2b372cae5cb4d1696808, 10, T1-S3-D3, 1, t1, s3, 22, 97, 3247.80000001, correct, T1S3D3-19-s3_97_t1lt2rt3r, 2021-03-24T10:51:05+0100, trial_T1_S3_D3
