participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 1, 104, 631453, correct, P-T3S3D3-0-s3_104_t1rt2lt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 2, 100, 2298, correct, P-T3S3D3-1-s3_100_t1rt2lt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 3, 92, 1953, correct, P-T3S3D3-2-s3_92_t1rt2rt3r, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 4, 80, 2523, correct, P-T3S3D3-3-s3_80_t1rt2rt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 5, 96, 2180, correct, P-T3S3D3-4-s3_96_t1lt2rt3r, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 6, 112, 2342, correct, P-T3S3D3-5-s3_112_t1rt2lt3r, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 7, 116, 2509, correct, P-T3S3D3-6-s3_116_t1lt2lt3r, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 8, 84, 1714, correct, P-T3S3D3-7-s3_84_t1rt2rt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 9, 108, 3317, correct, P-T3S3D3-8-s3_108_t1lt2lt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 10, 88, 1947, correct, P-T3S3D3-9-s3_88_t1lt2rt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 11, 104, 2104, correct, P-T3S3D3-10-s3_104_t1rt2lt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 12, 92, 1713, error, P-T3S3D3-11-s3_92_t1rt2rt3r, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 13, 84, 2012, correct, P-T3S3D3-12-s3_84_t1rt2rt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
603b750eab9d377aeac41724, bd1c04e676a57bf4a8c87abc4a6660b8, 76, T3-S3-D3, 0, t3, s3, 14, 80, 1562, correct, P-T3S3D3-13-s3_80_t1rt2rt3l, 2021-03-24T11:57:19+0100, practice_T3_S3_D3
