participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 1, 104, 372273.7, correct, P-T2S2D3-0-s2_104_t1rt2lt3l, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 2, 80, 2281.4, error, P-T2S2D3-1-s2_80_t1rt2rt3l, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 3, 96, 2631.1, correct, P-T2S2D3-2-s2_96_t1lt2rt3r, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 4, 116, 1916.7, correct, P-T2S2D3-3-s2_116_t1lt2lt3r, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 5, 112, 1718.6, correct, P-T2S2D3-4-s2_112_t1rt2lt3r, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 6, 92, 1566.4, correct, P-T2S2D3-5-s2_92_t1rt2rt3r, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 7, 108, 1783.9, correct, P-T2S2D3-6-s2_108_t1lt2lt3l, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 8, 88, 2920.5, error, P-T2S2D3-7-s2_88_t1lt2rt3l, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 9, 100, 2142.7, correct, P-T2S2D3-8-s2_100_t1rt2lt3l, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 10, 84, 1427.6, correct, P-T2S2D3-9-s2_84_t1rt2rt3l, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 12, 96, 2633, correct, P-T2S2D3-11-s2_96_t1lt2rt3r, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 13, 88, 1385.6, correct, P-T2S2D3-12-s2_88_t1lt2rt3l, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 14, 116, 2120.3, correct, P-T2S2D3-13-s2_116_t1lt2lt3r, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 0, t2, s2, 15, 108, 1367.7, correct, P-T2S2D3-14-s2_108_t1lt2lt3l, 2021-03-24T10:57:12+0100, practice_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 1, 87, 406624.2, correct, T2S2D3-0-s2_87_t1lt2rt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 2, 101, 860.000000001, correct, T2S2D3-1-s2_101_t1rt2lt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 3, 99, 219.9, error, T2S2D3-2-s2_99_t1lt2rt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 4, 102, 1051.8, correct, T2S2D3-3-s2_102_t1rt2lt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 5, 81, 688.400000001, correct, T2S2D3-4-s2_81_t1rt2rt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 6, 105, 690.9, correct, T2S2D3-5-s2_105_t1lt2lt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 7, 300, 723.3, correct, T2S2D3-attn-s2_300_t2l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 8, 85, 762.700000001, correct, T2S2D3-6-s2_85_t1lt2rt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 9, 94, 1410, correct, T2S2D3-7-s2_94_t1rt2rt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 10, 110, 694.299999999, correct, T2S2D3-8-s2_110_t1rt2lt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 11, 103, 774.300000001, correct, T2S2D3-9-s2_103_t1rt2lt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 12, 113, 824.9, correct, T2S2D3-10-s2_113_t1rt2lt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 13, 106, 796.6, correct, T2S2D3-11-s2_106_t1lt2lt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 14, 89, 1080, correct, T2S2D3-12-s2_89_t1lt2rt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 15, 301, 775.299999999, correct, T2S2D3-attn-s2_301_t2r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 16, 115, 627, correct, T2S2D3-13-s2_115_t1lt2lt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 17, 117, 899.9, correct, T2S2D3-14-s2_117_t1lt2lt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 18, 118, 620.9, error, T2S2D3-15-s2_118_t1lt2lt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 19, 119, 1259.9, correct, T2S2D3-16-s2_119_t1lt2lt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 20, 91, 708.4, correct, T2S2D3-17-s2_91_t1rt2rt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 21, 98, 1064.1, correct, T2S2D3-18-s2_98_t1lt2rt3r, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 22, 107, 1230, correct, T2S2D3-19-s2_107_t1lt2lt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 23, 302, 721.100000001, correct, T2S2D3-attn-s2_302_t2l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
5ee9fda0e490e30248fae454, d9d97c7035df747fae65f3b38b4f0a25, 59, T2-S2-D3, 1, t2, s2, 24, 82, 651.599999999, correct, T2S2D3-20-s2_82_t1rt2rt3l, 2021-03-24T10:57:45+0100, trial_T2_S2_D3
