participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 1, 16, 511131.7, correct, P-T3S2D1-0-s2_16_t1lt2rt3r, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 2, 36, 11297.5999999, correct, P-T3S2D1-1-s2_36_t1lt2lt3r, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 3, 20, 11680.0000001, correct, P-T3S2D1-2-s2_20_t1rt2lt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 4, 8, 10673.8, correct, P-T3S2D1-3-s2_8_t1lt2rt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 5, 4, 11289.7, correct, P-T3S2D1-4-s2_4_t1rt2rt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 6, 12, 11629.7, correct, P-T3S2D1-5-s2_12_t1rt2rt3r, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 7, 24, 14878.7, correct, P-T3S2D1-6-s2_24_t1rt2lt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 8, 28, 9377.80000002, correct, P-T3S2D1-7-s2_28_t1lt2lt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 9, 0, 10339.3, correct, P-T3S2D1-8-s2_0_t1rt2rt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 10, 32, 9916.6, correct, P-T3S2D1-9-s2_32_t1rt2lt3r, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 11, 16, 10705.6, correct, P-T3S2D1-10-s2_16_t1lt2rt3r, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 12, 20, 13567.9, error, P-T3S2D1-11-s2_20_t1rt2lt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 13, 28, 11526.3, correct, P-T3S2D1-12-s2_28_t1lt2lt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 14, 8, 10521.8999999, correct, P-T3S2D1-13-s2_8_t1lt2rt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 0, t3, s2, 15, 24, 6950.59999998, correct, P-T3S2D1-14-s2_24_t1rt2lt3l, 2021-03-30T21:24:51+0200, practice_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 1, t3, s2, 1, 5, 704789.6, error, T3S2D1-0-s2_5_t1lt2rt3l, 2021-03-30T21:30:16+0200, trial_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 1, t3, s2, 2, 3, 16210.4, correct, T3S2D1-1-s2_3_t1rt2rt3l, 2021-03-30T21:30:16+0200, trial_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 1, t3, s2, 3, 34, 6974.90000003, correct, T3S2D1-2-s2_34_t1rt2lt3r, 2021-03-30T21:30:16+0200, trial_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 1, t3, s2, 4, 2, 11281.5, error, T3S2D1-3-s2_2_t1rt2rt3l, 2021-03-30T21:30:16+0200, trial_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 1, t3, s2, 5, 19, 6725.29999993, correct, T3S2D1-4-s2_19_t1lt2rt3r, 2021-03-30T21:30:16+0200, trial_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 1, t3, s2, 6, 21, 5663.70000003, correct, T3S2D1-5-s2_21_t1rt2lt3l, 2021-03-30T21:30:16+0200, trial_T3_S2_D1
601903a3842bcc20df15b296, da5bbb700a11d547a6e2d07d6de3c312, 97, T3-S2-D1, 1, t3, s2, 7, 300, 3868.00000002, correct, T3S2D1-attn-s2_300_t3l, 2021-03-30T21:30:16+0200, trial_T3_S2_D1
