participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 1, 28, 426748, correct, P-T2S3D1-0-s3_28_t1lt2lt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 2, 32, 6200, correct, P-T2S3D1-1-s3_32_t1rt2lt3r, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 3, 0, 3451, correct, P-T2S3D1-2-s3_0_t1rt2rt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 4, 4, 3033, error, P-T2S3D1-3-s3_4_t1rt2rt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 5, 24, 9818, correct, P-T2S3D1-4-s3_24_t1rt2lt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 6, 36, 5002, correct, P-T2S3D1-5-s3_36_t1lt2lt3r, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 7, 12, 2232, correct, P-T2S3D1-6-s3_12_t1rt2rt3r, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 8, 8, 3667, correct, P-T2S3D1-7-s3_8_t1lt2rt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 9, 16, 2950, correct, P-T2S3D1-8-s3_16_t1lt2rt3r, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 10, 20, 2503, correct, P-T2S3D1-9-s3_20_t1rt2lt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 11, 28, 2699, correct, P-T2S3D1-10-s3_28_t1lt2lt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 12, 0, 3080, correct, P-T2S3D1-11-s3_0_t1rt2rt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 13, 8, 2785, correct, P-T2S3D1-12-s3_8_t1lt2rt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 14, 4, 2308, correct, P-T2S3D1-13-s3_4_t1rt2rt3l, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 0, t2, s3, 15, 12, 1744, correct, P-T2S3D1-14-s3_12_t1rt2rt3r, 2021-03-24T10:57:49+0100, practice_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 1, 15, 499289, correct, T2S3D1-0-s3_15_t1lt2rt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 2, 11, 2591, correct, T2S3D1-1-s3_11_t1rt2rt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 3, 26, 1659, correct, T2S3D1-2-s3_26_t1lt2lt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 4, 13, 2467, correct, T2S3D1-3-s3_13_t1rt2rt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 5, 22, 3102, correct, T2S3D1-4-s3_22_t1rt2lt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 6, 33, 1834, correct, T2S3D1-5-s3_33_t1rt2lt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 7, 300, 1783, correct, T2S3D1-attn-s3_300_t2l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 8, 31, 2102, correct, T2S3D1-6-s3_31_t1rt2lt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 9, 7, 1545, correct, T2S3D1-7-s3_7_t1lt2rt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 10, 9, 2200, correct, T2S3D1-8-s3_9_t1lt2rt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 11, 38, 1269, correct, T2S3D1-9-s3_38_t1lt2lt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 12, 17, 1700, correct, T2S3D1-10-s3_17_t1lt2rt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 13, 39, 1517, correct, T2S3D1-11-s3_39_t1lt2lt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 14, 30, 2637, correct, T2S3D1-12-s3_30_t1rt2lt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 15, 301, 1396, correct, T2S3D1-attn-s3_301_t2r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 16, 10, 2151, correct, T2S3D1-13-s3_10_t1rt2rt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 17, 21, 1416, correct, T2S3D1-14-s3_21_t1rt2lt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 18, 27, 3184, correct, T2S3D1-15-s3_27_t1lt2lt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 19, 2, 1137, correct, T2S3D1-16-s3_2_t1rt2rt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 20, 18, 2128, correct, T2S3D1-17-s3_18_t1lt2rt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 21, 6, 2067, correct, T2S3D1-18-s3_6_t1lt2rt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 22, 5, 4884, correct, T2S3D1-19-s3_5_t1lt2rt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 23, 302, 1456, correct, T2S3D1-attn-s3_302_t2l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 24, 3, 2480, correct, T2S3D1-20-s3_3_t1rt2rt3l, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 25, 34, 2135, correct, T2S3D1-21-s3_34_t1rt2lt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
602a8a02aa844c09dcb58723, e058ebef84118dc9140486a9a30876c3, 52, T2-S3-D1, 1, t2, s3, 26, 19, 1833, correct, T2S3D1-22-s3_19_t1lt2rt3r, 2021-03-24T10:59:11+0100, trial_T2_S3_D1
