participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 1, 96, 1023620.7, correct, P-T2S3D3-0-s3_96_t1lt2rt3r, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 2, 112, 3718.2, correct, P-T2S3D3-1-s3_112_t1rt2lt3r, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 3, 80, 2882.19999999, correct, P-T2S3D3-2-s3_80_t1rt2rt3l, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 4, 92, 2243.9, correct, P-T2S3D3-3-s3_92_t1rt2rt3r, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 5, 84, 2026.4, correct, P-T2S3D3-4-s3_84_t1rt2rt3l, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 6, 116, 2315, correct, P-T2S3D3-5-s3_116_t1lt2lt3r, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 7, 104, 2313.59999999, correct, P-T2S3D3-6-s3_104_t1rt2lt3l, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 8, 100, 2555.00000002, correct, P-T2S3D3-7-s3_100_t1rt2lt3l, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 9, 88, 1834.89999999, correct, P-T2S3D3-8-s3_88_t1lt2rt3l, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 10, 108, 1893.4, correct, P-T2S3D3-9-s3_108_t1lt2lt3l, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 11, 96, 1928.4, correct, P-T2S3D3-10-s3_96_t1lt2rt3r, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 12, 80, 2012.49999998, correct, P-T2S3D3-11-s3_80_t1rt2rt3l, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 13, 100, 1832.1, correct, P-T2S3D3-12-s3_100_t1rt2lt3l, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
5e1e198c99109f000b6196a5, e076a715dca0b671483db6778832d5b5, 42, T2-S3-D3, 0, t2, s3, 14, 92, 1728.50000003, correct, P-T2S3D3-13-s3_92_t1rt2rt3r, 2021-03-24T11:08:39+0100, practice_T2_S3_D3
