participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 1, 84, 515364.9, correct, P-T2S3D3-0-s3_84_t1rt2rt3l, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 2, 88, 2783, correct, P-T2S3D3-1-s3_88_t1lt2rt3l, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 3, 80, 1694.10000002, correct, P-T2S3D3-2-s3_80_t1rt2rt3l, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 4, 108, 2162.40000003, correct, P-T2S3D3-3-s3_108_t1lt2lt3l, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 5, 92, 1722.59999998, correct, P-T2S3D3-4-s3_92_t1rt2rt3r, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 6, 100, 1858.39999997, correct, P-T2S3D3-5-s3_100_t1rt2lt3l, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 7, 96, 1685.20000001, correct, P-T2S3D3-6-s3_96_t1lt2rt3r, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 8, 104, 3412.60000004, error, P-T2S3D3-7-s3_104_t1rt2lt3l, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 9, 116, 3489, correct, P-T2S3D3-8-s3_116_t1lt2lt3r, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
5c431559dc3ef30001b09341, e0a9062479fa6e92c0509b17d4f967d3, 37, T2-S3-D3, 0, t2, s3, 10, 112, 2079.79999995, correct, P-T2S3D3-9-s3_112_t1rt2lt3r, 2021-03-24T10:58:10+0100, practice_T2_S3_D3
