participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 1, 64, 303784.9, correct, P-T1S1D2-0-s1_64_t1rt2lt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 2, 76, 2202.39999999, correct, P-T1S1D2-1-s1_76_t1lt2lt3r, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 3, 40, 1653.8, correct, P-T1S1D2-2-s1_40_t1rt2rt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 4, 56, 1845, correct, P-T1S1D2-3-s1_56_t1lt2rt3r, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 5, 52, 2236.6, correct, P-T1S1D2-4-s1_52_t1rt2rt3r, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 6, 68, 1874.7, correct, P-T1S1D2-5-s1_68_t1lt2lt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 7, 60, 1495.59999999, correct, P-T1S1D2-6-s1_60_t1rt2lt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 8, 48, 1722.8, correct, P-T1S1D2-7-s1_48_t1lt2rt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 9, 72, 1772.4, correct, P-T1S1D2-8-s1_72_t1rt2lt3r, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 10, 44, 1431.79999999, correct, P-T1S1D2-9-s1_44_t1rt2rt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 11, 64, 1600.9, correct, P-T1S1D2-10-s1_64_t1rt2lt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 12, 40, 1486.69999999, correct, P-T1S1D2-11-s1_40_t1rt2rt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 13, 48, 1658.4, correct, P-T1S1D2-12-s1_48_t1lt2rt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 14, 56, 1633.20000001, correct, P-T1S1D2-13-s1_56_t1lt2rt3r, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 0, t1, s1, 15, 60, 1670.6, correct, P-T1S1D2-14-s1_60_t1rt2lt3l, 2021-03-24T10:55:45+0100, practice_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 1, 74, 337858, correct, T1S1D2-0-s1_74_t1rt2lt3r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 2, 57, 1023.8, correct, T1S1D2-1-s1_57_t1lt2rt3r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 3, 41, 717.200000014, correct, T1S1D2-2-s1_41_t1rt2rt3l, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 4, 71, 771.999999997, correct, T1S1D2-3-s1_71_t1rt2lt3r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 5, 58, 683.399999994, correct, T1S1D2-4-s1_58_t1lt2rt3r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 6, 55, 788.6, correct, T1S1D2-5-s1_55_t1lt2rt3r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 7, 300, 693.899999998, correct, T1S1D2-attn-s1_300_t1l, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 8, 63, 1215, correct, T1S1D2-6-s1_63_t1rt2lt3l, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 9, 50, 1186.6, correct, T1S1D2-7-s1_50_t1rt2rt3r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 10, 65, 749.400000001, correct, T1S1D2-8-s1_65_t1lt2lt3l, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 11, 47, 694.100000008, correct, T1S1D2-9-s1_47_t1lt2rt3l, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 12, 70, 833.400000003, correct, T1S1D2-10-s1_70_t1rt2lt3r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 13, 69, 644.799999995, correct, T1S1D2-11-s1_69_t1lt2lt3l, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 14, 78, 807.6, error, T1S1D2-12-s1_78_t1lt2lt3r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
5ff8ceb2b5a05a1692880041, f7fe34d9555af254c11c00955f608e7a, 20, T1-S1-D2, 1, t1, s1, 15, 301, 807.400000005, correct, T1S1D2-attn-s1_301_t1r, 2021-03-24T10:56:17+0100, trial_T1_S1_D2
