participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 1, 8, 128371.4, correct, P-T2S1D1-0-s1_8_t1lt2rt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 2, 32, 4891.7, correct, P-T2S1D1-1-s1_32_t1rt2lt3r, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 3, 28, 6253.6, correct, P-T2S1D1-2-s1_28_t1lt2lt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 4, 0, 6125.5, correct, P-T2S1D1-3-s1_0_t1rt2rt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 5, 24, 4080.6, correct, P-T2S1D1-4-s1_24_t1rt2lt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 6, 16, 3819.1, correct, P-T2S1D1-5-s1_16_t1lt2rt3r, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 7, 20, 4448.8, correct, P-T2S1D1-6-s1_20_t1rt2lt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 8, 12, 3885, correct, P-T2S1D1-7-s1_12_t1rt2rt3r, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 9, 4, 4062.9, correct, P-T2S1D1-8-s1_4_t1rt2rt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 10, 36, 2535.1, correct, P-T2S1D1-9-s1_36_t1lt2lt3r, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 11, 8, 4486.3, correct, P-T2S1D1-10-s1_8_t1lt2rt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 12, 28, 4750.6, correct, P-T2S1D1-11-s1_28_t1lt2lt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 13, 12, 2021.6, correct, P-T2S1D1-12-s1_12_t1rt2rt3r, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 14, 0, 3844.4, correct, P-T2S1D1-13-s1_0_t1rt2rt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 0, t2, s1, 15, 20, 2815.9, correct, P-T2S1D1-14-s1_20_t1rt2lt3l, 2021-03-24T11:25:32+0100, practice_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 1, 31, 201327.4, correct, T2S1D1-0-s1_31_t1rt2lt3r, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 2, 2, 2511.00000001, correct, T2S1D1-1-s1_2_t1rt2rt3l, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 3, 15, 1719.39999999, correct, T2S1D1-2-s1_15_t1lt2rt3r, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 4, 29, 1247.1, correct, T2S1D1-3-s1_29_t1lt2lt3l, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 5, 21, 1124.4, correct, T2S1D1-4-s1_21_t1rt2lt3l, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 6, 7, 955.000000002, correct, T2S1D1-5-s1_7_t1lt2rt3l, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 7, 300, 963.799999998, correct, T2S1D1-attn-s1_300_t2l, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 8, 1, 1868.9, correct, T2S1D1-6-s1_1_t1rt2rt3l, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
5ec7ad7b3e940a21883b8007, f96afc23e1df62638816b6c9694dbc3d, 41, T2-S1-D1, 1, t2, s1, 9, 9, 1465.5, correct, T2S1D1-7-s1_9_t1lt2rt3l, 2021-03-24T11:26:33+0100, trial_T2_S1_D1
