participant, timestamp, chart, elements, trial, sequence, file, time, feedback
1, 2021-01-04T11:02:58+0100, P-, t2, 1, 32, P-T2S2D1-0-s2_32_t1rt2lt3r, 105055, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 2, 12, P-T2S2D1-1-s2_12_t1rt2rt3r, 1439, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 3, 28, P-T2S2D1-2-s2_28_t1lt2lt3l, 1545, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 4, 16, P-T2S2D1-3-s2_16_t1lt2rt3r, 2680, error
1, 2021-01-04T11:02:58+0100, P-, t2, 5, 0, P-T2S2D1-4-s2_0_t1rt2rt3l, 720, error
1, 2021-01-04T11:02:58+0100, P-, t2, 6, 8, P-T2S2D1-5-s2_8_t1lt2rt3l, 664, error
1, 2021-01-04T11:02:58+0100, P-, t2, 7, 20, P-T2S2D1-6-s2_20_t1rt2lt3l, 640, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 8, 36, P-T2S2D1-7-s2_36_t1lt2lt3r, 1040, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 9, 24, P-T2S2D1-8-s2_24_t1rt2lt3l, 792, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 10, 4, P-T2S2D1-9-s2_4_t1rt2rt3l, 720, error
1, 2021-01-04T11:02:58+0100, P-, t2, 11, 32, P-T2S2D1-10-s2_32_t1rt2lt3r, 648, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 12, 28, P-T2S2D1-11-s2_28_t1lt2lt3l, 641, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 13, 36, P-T2S2D1-12-s2_36_t1lt2lt3r, 639, correct
1, 2021-01-04T11:02:58+0100, P-, t2, 14, 16, P-T2S2D1-13-s2_16_t1lt2rt3r, 623, error
1, 2021-01-04T11:02:58+0100, P-, t2, 15, 20, P-T2S2D1-14-s2_20_t1rt2lt3l, 633, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 1, 0, T2S2D1_0_s2_33_t1rt2lt3r, 354544, error
1, 2021-01-04T11:08:58+0100, T2, t1, 2, 1, T2S2D1_1_s2_29_t1lt2lt3l, 1337, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 3, 2, T2S2D1_2_s2_10_t1rt2rt3r, 160, error
1, 2021-01-04T11:08:58+0100, T2, t1, 4, 3, T2S2D1_3_s2_23_t1rt2lt3l, 135, error
1, 2021-01-04T11:08:58+0100, T2, t1, 5, 4, T2S2D1_4_s2_22_t1rt2lt3l, 128, error
1, 2021-01-04T11:08:58+0100, T2, t1, 6, 5, T2S2D1_5_s2_27_t1lt2lt3l, 154, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 7, 0, T2S2D1-attn-s2_0_t2l, 142, error
1, 2021-01-04T11:08:58+0100, T2, t1, 8, 6, T2S2D1_6_s2_15_t1lt2rt3r, 160, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 9, 7, T2S2D1_7_s2_26_t1lt2lt3l, 136, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 10, 8, T2S2D1_8_s2_11_t1rt2rt3r, 172, error
1, 2021-01-04T11:08:58+0100, T2, t1, 11, 9, T2S2D1_9_s2_5_t1lt2rt3l, 156, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 12, 10, T2S2D1_10_s2_3_t1rt2rt3l, 136, error
1, 2021-01-04T11:08:58+0100, T2, t1, 13, 11, T2S2D1_11_s2_7_t1lt2rt3l, 152, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 14, 12, T2S2D1_12_s2_31_t1rt2lt3r, 159, error
1, 2021-01-04T11:08:58+0100, T2, t1, 15, 1, T2S2D1-attn-s2_1_t2r, 153, error
1, 2021-01-04T11:08:58+0100, T2, t1, 16, 13, T2S2D1_13_s2_38_t1lt2lt3r, 136, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 17, 14, T2S2D1_14_s2_39_t1lt2lt3r, 176, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 18, 15, T2S2D1_15_s2_25_t1lt2lt3l, 145, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 19, 16, T2S2D1_16_s2_14_t1rt2rt3r, 151, error
1, 2021-01-04T11:08:58+0100, T2, t1, 20, 17, T2S2D1_17_s2_17_t1lt2rt3r, 160, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 21, 18, T2S2D1_18_s2_35_t1lt2lt3r, 137, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 22, 19, T2S2D1_19_s2_21_t1rt2lt3l, 159, error
1, 2021-01-04T11:08:58+0100, T2, t1, 23, 2, T2S2D1-attn-s2_2_t2l, 161, error
1, 2021-01-04T11:08:58+0100, T2, t1, 24, 20, T2S2D1_20_s2_37_t1lt2lt3r, 159, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 25, 21, T2S2D1_21_s2_18_t1lt2rt3r, 184, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 26, 22, T2S2D1_22_s2_30_t1rt2lt3r, 159, error
1, 2021-01-04T11:08:58+0100, T2, t1, 27, 23, T2S2D1_23_s2_9_t1lt2rt3l, 200, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 28, 24, T2S2D1_24_s2_6_t1lt2rt3l, 194, correct
1, 2021-01-04T11:08:58+0100, T2, t1, 29, 25, T2S2D1_25_s2_13_t1rt2rt3r, 215, error
1, 2021-01-04T11:08:58+0100, T2, t1, 30, 26, T2S2D1_26_s2_2_t1rt2rt3l, 201, error
1, 2021-01-04T11:09:22+0100, P-, t2, 1, 44, P-T2S3D2-0-s3_44_t1rt2rt3l, 9400, error
1, 2021-01-04T11:09:22+0100, P-, t2, 2, 72, P-T2S3D2-1-s3_72_t1rt2lt3r, 1559, correct
1, 2021-01-04T11:09:22+0100, P-, t2, 3, 60, P-T2S3D2-2-s3_60_t1rt2lt3l, 608, correct
1, 2021-01-04T11:09:22+0100, P-, t2, 4, 52, P-T2S3D2-3-s3_52_t1rt2rt3r, 639, error
1, 2021-01-04T11:09:22+0100, P-, t2, 5, 48, P-T2S3D2-4-s3_48_t1lt2rt3l, 585, error
1, 2021-01-04T11:09:22+0100, P-, t2, 6, 40, P-T2S3D2-5-s3_40_t1rt2rt3l, 592, error
1, 2021-01-04T11:09:22+0100, P-, t2, 7, 68, P-T2S3D2-6-s3_68_t1lt2lt3l, 584, correct
1, 2021-01-04T11:09:22+0100, P-, t2, 8, 64, P-T2S3D2-7-s3_64_t1rt2lt3l, 633, correct
1, 2021-01-04T11:09:22+0100, P-, t2, 9, 76, P-T2S3D2-8-s3_76_t1lt2lt3r, 687, correct
1, 2021-01-04T11:09:22+0100, P-, t2, 10, 56, P-T2S3D2-9-s3_56_t1lt2rt3r, 633, error
1, 2021-01-04T11:09:22+0100, P-, t2, 11, 44, P-T2S3D2-10-s3_44_t1rt2rt3l, 599, error
1, 2021-01-04T11:09:22+0100, P-, t2, 12, 60, P-T2S3D2-11-s3_60_t1rt2lt3l, 585, correct
1, 2021-01-04T11:09:22+0100, P-, t2, 13, 64, P-T2S3D2-12-s3_64_t1rt2lt3l, 543, correct
1, 2021-01-04T11:09:22+0100, P-, t2, 14, 52, P-T2S3D2-13-s3_52_t1rt2rt3r, 559, error
1, 2021-01-04T11:09:22+0100, P-, t2, 15, 68, P-T2S3D2-14-s3_68_t1lt2lt3l, 4681, correct
1, 2021-01-04T11:38:14+0100, P-, t2, 1, 16, P-T3S1D1-0-s1_16_t1lt2rt3r, 28380, correct
1, 2021-01-04T11:38:14+0100, P-, t2, 2, 4, P-T3S1D1-1-s1_4_t1rt2rt3l, 1383, error
1, 2021-01-04T11:38:14+0100, P-, t2, 3, 28, P-T3S1D1-2-s1_28_t1lt2lt3l, 793, error
1, 2021-01-04T11:38:14+0100, P-, t2, 4, 24, P-T3S1D1-3-s1_24_t1rt2lt3l, 655, error
1, 2021-01-04T11:38:14+0100, P-, t2, 5, 36, P-T3S1D1-4-s1_36_t1lt2lt3r, 623, correct
1, 2021-01-04T11:38:14+0100, P-, t2, 6, 0, P-T3S1D1-5-s1_0_t1rt2rt3l, 601, error
1, 2021-01-04T11:38:14+0100, P-, t2, 7, 8, P-T3S1D1-6-s1_8_t1lt2rt3l, 544, error
1, 2021-01-04T11:38:14+0100, P-, t2, 8, 32, P-T3S1D1-7-s1_32_t1rt2lt3r, 584, correct
1, 2021-01-04T11:38:14+0100, P-, t2, 9, 20, P-T3S1D1-8-s1_20_t1rt2lt3l, 593, error
1, 2021-01-04T11:38:14+0100, P-, t2, 10, 12, P-T3S1D1-9-s1_12_t1rt2rt3r, 576, correct
1, 2021-01-04T11:38:14+0100, P-, t2, 11, 16, P-T3S1D1-10-s1_16_t1lt2rt3r, 1959, correct
1, 2021-01-04T11:38:14+0100, P-, t2, 12, 28, P-T3S1D1-11-s1_28_t1lt2lt3l, 832, error
1, 2021-01-04T11:38:14+0100, P-, t2, 13, 32, P-T3S1D1-12-s1_32_t1rt2lt3r, 687, correct
1, 2021-01-04T11:38:14+0100, P-, t2, 14, 24, P-T3S1D1-13-s1_24_t1rt2lt3l, 785, error
1, 2021-01-04T11:38:14+0100, P-, t2, 15, 8, P-T3S1D1-14-s1_8_t1lt2rt3l, 690, error
1, 2021-01-04T11:38:24+0100, T3, t1, 1, 0, T3S1D1_0_s1_30_t1rt2lt3r, 4742, error
1, 2021-01-04T11:38:24+0100, T3, t1, 2, 1, T3S1D1_1_s1_39_t1lt2lt3r, 976, correct
1, 2021-01-04T11:38:24+0100, T3, t1, 3, 2, T3S1D1_2_s1_15_t1lt2rt3r, 457, correct
1, 2021-01-04T11:38:24+0100, T3, t1, 4, 3, T3S1D1_3_s1_18_t1lt2rt3r, 184, correct
1, 2021-01-04T11:38:24+0100, T3, t1, 5, 4, T3S1D1_4_s1_27_t1lt2lt3l, 135, error
1, 2021-01-04T11:38:24+0100, T3, t1, 6, 5, T3S1D1_5_s1_13_t1rt2rt3r, 151, correct
1, 2021-01-04T11:38:24+0100, T3, t1, 7, 0, T3S1D1-attn-s1_0_t3l, 145, error
1, 2021-01-04T11:38:24+0100, T3, t1, 8, 6, T3S1D1_6_s1_22_t1rt2lt3l, 136, error
1, 2021-01-04T11:38:24+0100, T3, t1, 9, 7, T3S1D1_7_s1_35_t1lt2lt3r, 136, correct
1, 2021-01-04T11:38:24+0100, T3, t1, 10, 8, T3S1D1_8_s1_9_t1lt2rt3l, 480, error
1, 2021-01-04T11:38:24+0100, T3, t1, 11, 9, T3S1D1_9_s1_7_t1lt2rt3l, 167, error
1, 2021-01-04T11:38:24+0100, T3, t1, 12, 10, T3S1D1_10_s1_34_t1rt2lt3r, 162, correct
1, 2021-01-04T11:38:24+0100, T3, t1, 13, 11, T3S1D1_11_s1_3_t1rt2rt3l, 159, error
1, 2021-01-04T11:38:24+0100, T3, t1, 14, 12, T3S1D1_12_s1_37_t1lt2lt3r, 160, correct
1, 2021-01-04T11:38:24+0100, T3, t1, 15, 1, T3S1D1-attn-s1_1_t3r, 169, correct
1, 2021-01-04T11:38:24+0100, T3, t1, 16, 13, T3S1D1_13_s1_5_t1lt2rt3l, 167, error
1, 2021-01-04T11:38:24+0100, T3, t1, 17, 14, T3S1D1_14_s1_19_t1lt2rt3r, 151, correct
