participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 1, 80, 157387, error, P-T2S1D3-0-s1_80_t1rt2rt3l, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 2, 100, 1448, error, P-T2S1D3-1-s1_100_t1rt2lt3l, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 3, 116, 1242, correct, P-T2S1D3-2-s1_116_t1lt2lt3r, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 4, 108, 1326, correct, P-T2S1D3-3-s1_108_t1lt2lt3l, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 5, 96, 1384, error, P-T2S1D3-4-s1_96_t1lt2rt3r, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 6, 92, 1161, error, P-T2S1D3-5-s1_92_t1rt2rt3r, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 7, 104, 4879, correct, P-T2S1D3-6-s1_104_t1rt2lt3l, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 8, 84, 1728, error, P-T2S1D3-7-s1_84_t1rt2rt3l, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 9, 88, 1816, error, P-T2S1D3-8-s1_88_t1lt2rt3l, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 10, 112, 1984, error, P-T2S1D3-9-s1_112_t1rt2lt3r, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 11, 80, 1656, error, P-T2S1D3-10-s1_80_t1rt2rt3l, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
Pilot, f528764d624db129b32c21fbca0cb8d6, 6, T2-S1-D3, 0, t2, s1, 12, 116, 1592, correct, P-T2S1D3-11-s1_116_t1lt2lt3r, 2021-02-01T21:41:26+0100, practice_T2_S1_D3
