participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 1, 4, 46916.484999998, error, P-T1S1D1-0-s1_4_t1rt2rt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 2, 16, 2431.5200000019, error, P-T1S1D1-1-s1_16_t1lt2rt3r, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 3, 20, 1794.0049999997, error, P-T1S1D1-2-s1_20_t1rt2lt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 4, 8, 1533.6900000002, error, P-T1S1D1-3-s1_8_t1lt2rt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 5, 24, 1682.0799999987, error, P-T1S1D1-4-s1_24_t1rt2lt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 6, 36, 1566.780000001, error, P-T1S1D1-5-s1_36_t1lt2lt3r, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 7, 12, 1606.4450000013, error, P-T1S1D1-6-s1_12_t1rt2rt3r, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 8, 0, 1560.7649999984, correct, P-T1S1D1-7-s1_0_t1rt2rt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 9, 32, 1608.185000001, correct, P-T1S1D1-8-s1_32_t1rt2lt3r, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 10, 28, 1536.7650000007, error, P-T1S1D1-9-s1_28_t1lt2lt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 11, 4, 1711.1850000001, error, P-T1S1D1-10-s1_4_t1rt2rt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 12, 20, 1559.8399999981, correct, P-T1S1D1-11-s1_20_t1rt2lt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 13, 0, 1352.2899999989, error, P-T1S1D1-12-s1_0_t1rt2rt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 14, 8, 1368.9150000027, error, P-T1S1D1-13-s1_8_t1lt2rt3l, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
Pilot, 837ec5754f503cfaaee0929fd48974e7, 1, T1-S1-D1, 0, t1, s1, 15, 12, 1141.6749999989, correct, P-T1S1D1-14-s1_12_t1rt2rt3r, 2021-01-27T23:30:20+0100, practice_T1_S1_D1
