participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 1, 52, 157080, error, P-T1S2D2-0-s2_52_t1rt2rt3r, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 2, 72, 2161, correct, P-T1S2D2-1-s2_72_t1rt2lt3r, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 3, 56, 1319, correct, P-T1S2D2-2-s2_56_t1lt2rt3r, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 4, 48, 1681, error, P-T1S2D2-3-s2_48_t1lt2rt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 5, 64, 1401, error, P-T1S2D2-4-s2_64_t1rt2lt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 6, 44, 2087, correct, P-T1S2D2-5-s2_44_t1rt2rt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 7, 40, 1335, correct, P-T1S2D2-6-s2_40_t1rt2rt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 8, 68, 1280, error, P-T1S2D2-7-s2_68_t1lt2lt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 9, 60, 1234, correct, P-T1S2D2-8-s2_60_t1rt2lt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 10, 76, 1295, correct, P-T1S2D2-9-s2_76_t1lt2lt3r, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 11, 52, 1313, correct, P-T1S2D2-10-s2_52_t1rt2rt3r, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 12, 56, 1262, error, P-T1S2D2-11-s2_56_t1lt2rt3r, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 13, 68, 1249, error, P-T1S2D2-12-s2_68_t1lt2lt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 14, 48, 1199, error, P-T1S2D2-13-s2_48_t1lt2rt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 0, t1, s2, 15, 40, 1256, correct, P-T1S2D2-14-s2_40_t1rt2rt3l, 2021-01-27T23:20:48+0100, practice_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 1, t1, s2, 1, 0, 305432, error, T1S2D2_0_s2_66_t1lt2lt3l, 2021-01-27T23:21:03+0100, trial_T1_S2_D2
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S2-D2, 1, t1, s2, 2, 1, 168, error, T1S2D2_1_s2_59_t1lt2rt3r, 2021-01-27T23:21:03+0100, trial_T1_S2_D2
