participant_id, system_generated_id, experiment_sequence, experiment_order, is_main_trial, task, visualization_size, trial_order, image_file_order, answering_time, answer, image_file_name, timestamp, page_name
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 1, 0, 69789, error, P-T1S1D1-0-s1_0_t1rt2rt3l, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 2, 20, 2170, correct, P-T1S1D1-1-s1_20_t1rt2lt3l, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 3, 16, 1876, correct, P-T1S1D1-2-s1_16_t1lt2rt3r, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 4, 36, 1617, correct, P-T1S1D1-3-s1_36_t1lt2lt3r, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 5, 24, 1480, correct, P-T1S1D1-4-s1_24_t1rt2lt3l, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 6, 28, 1441, correct, P-T1S1D1-5-s1_28_t1lt2lt3l, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 7, 4, 1671, error, P-T1S1D1-6-s1_4_t1rt2rt3l, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 8, 12, 1559, error, P-T1S1D1-7-s1_12_t1rt2rt3r, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 9, 8, 1546, correct, P-T1S1D1-8-s1_8_t1lt2rt3l, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 10, 32, 1392, error, P-T1S1D1-9-s1_32_t1rt2lt3r, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 11, 0, 1494, error, P-T1S1D1-10-s1_0_t1rt2rt3l, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 12, 16, 1465, correct, P-T1S1D1-11-s1_16_t1lt2rt3r, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 13, 12, 1400, error, P-T1S1D1-12-s1_12_t1rt2rt3r, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 14, 36, 1632, correct, P-T1S1D1-13-s1_36_t1lt2lt3r, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
Pilot, f528764d624db129b32c21fbca0cb8d6, 1, T1-S1-D1, 0, t1, s1, 15, 4, 1633, correct, P-T1S1D1-14-s1_4_t1rt2rt3l, 2021-01-28T17:30:00+0100, practice_T2_S1_D1
